"Item Locations:","","https://roguetrader.wh40k.wiki/Warhammer_40,000_Rogue_Trader_Wiki","","","","","Warrior builds that use offhand guns for RP if you want bolt pistols id suggest wait till act 4: https://roguetrader.wh40k.wiki/Mars-Pattern_Bolt_Pistol ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"*Scroll right for more variants and down for other origins","","","","","Video guides: https://www.youtube.com/c/revan619 ","","","","","","Gear suggestions are complicated as you will constantly move gear between allies so below will be what to aim for end of the act.					","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"*Download the sheet to navigate to 1.4 builds if you want to use builds that have not been optimised for 1.5 - This is the 1.6 sheet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ability","Commissar General (Sebastian Yarrick) ","","","","","","","","","","Skill Options","","","","","","","Iconic Commissar (Ciaphus Cain)","","","","","","","","","","Skill Options","","","","","","","Commissar Gunslinger","","","","","","","","","","Skill Options","","","","","","","Traitors will not be tolerated","","","","","","","","","","Skill Options","","","","","","","Sentenced to the Electric Chair","","","","","","","","","","Skill Options","","","","","","","One for the enemy, two for the traitors ","","","","","","","","","","Skill Options","","","","","","","The Void-Disciplinarian","","","","","","","","","","Skill Options","","","","","","","","","","","","","","","","","","","","","",""
"Skill","Hive World - Commissar - Illustrious Glory / Shadow of Torment - Officer - +2 Ballistic Skill / Agility +1 / Perception +1 / Fellowship +2 (works imperial world changing 5 to doing my part, 30 to ready to serve)","","","","","","","","","","Commerce / Persuasion / Coercion / Lore Imperium (Chartist Pendant)","","","","","","","Hive World - Commissar - Warrior - Weapon Skill +2 / Strength +1 / Toughness +2 / Agi +1","","","","","","","","","","Athletics / Carouse / Coercion","","","","","","","Imperial World (Fellowship) - Commissar - Soldier - Ballistic Skill +2 / Agility + 2 / Perception +2. - can also go hive world swapping doing my part for weapon personalisation ","","","","","","","","","","Demolition / Awareness / Coercion","","","","","","","Voidborn - Commissar - Operative - +2 Ballistic Skill / +2 Intelligence / +2 Perception","","","","","","","","","","Intelligence / Fellowship","","","","","","","Voidborn - Commissar - Soldier - Ballistic Skill +2 / Agility +2 / Intelligence +1 / Perception +1","","","","","","","","","","Intelligence / Fellowship","","","","","","","Imperial World (Fellowship) - Commissar - Illustrious Glory / Shadow of Torment - Officer - +2 Ballistic Skill / Agility +2 / Perception +1 / Fellowship +1 (Commissar Gunslinger Build for MT)","","","","","","","","","","Commerce / Persuasion / Coercion / Lore Imperium (Chartist Pendant)","","","","","","","Voidborn - Commissar - Officer - +2 Ballistic Skill / Agility +2 / Intelligence +2 - Officer MK Tactician build not using Arc Rifles","","","","","","","","","","Commerce / Persuasion / Coercion / Lore Imperium","","","","","","","","","","","","","","","","","","","","","",""
"Talent","Officer","","","Master Tactician","","","Exemplar","","","","","","","","","","","Warrior","","","Arch-Militant","","","Exemplar","","","","","","","","","","","Soldier","","","Arch-Militant","","","Exemplar","","","","","","","","","","","Operative","","","Bounty Hunter","","","Exemplar","","","","","","","","","","","Soldier","","","Master Tactician","","","Exemplar","","","","","","","","","","","Soldier","","","Master Tactician","","","Exemplar","","","","","","","","","","","Officer","","","Master Tactician","","","Exemplar","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Common Talent","Level 1 :","Voice Of Command","","Level 16 :","Tactical Advantage","Press The Advantage","Level 36 :","Firebrand","Leader's assault","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","Level 1 :","Charge","","Level 16 :","Versitility","","Level 36 :","Peak Condition","Easy Target","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","Level 1 :","Run and Gun","","Level 16 :","Versatility","","Level 36 :","Degraded Defence","Rack and Ruin","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","Level 1 :","Analyse Enemies","","Level 16 :","Hunt Down The Prey","","Level 36 :","Degraded Defence","Continuous Analysis","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","Level 1 :","Run and Gun","","Level 16 :","Tactical Advantage","Press The Advantage","Level 36 :","Masterful Precision","Rack and Ruin","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","Level 1 :","Run and Gun","","Level 16 :","Tactical Advantage","Press The Advantage","Level 36 :","Degraded Defence","Rack and Ruin","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","Level 1 :","Voice Of Command","","Level 16 :","Tactical Advantage","Press The Advantage","Level 36 :","Firebrand","Steel Resolve","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","","","","","","","","","","","","","","","",""
"Heroic Action","Level 2 :","Coercion","","Level 17 :","Linchpin","","Level 37 :","Coercion","Dawn of Victory","","Helm","Ancient Terra Monocle","Commander's Monocle","Commissar Cap","Commissar Cap","","","Level 2 :","Medicae","","Level 17 :","Reckless Rush","","Level 37 :","Athletics","Critical Versatility","","Helm","Helm of Determination","The Guardian Crown","The Guardian Crown","The Guardian Crown","","","Level 2 :","Medicae","","Level 17 :","Reckless Rush","","Level 37 :","Coercion","Exploit Weakness","","Helm","Pinpoint Visor","Gunslinger's Helm","Commissar Cap / Gunslinger's Helm","Commissar Cap / Gunslinger's Helm","","","Level 2 :","Medicae","","Level 17 :","Claim the Bounty","","Level 37 :","Coercion","Let them know fear!","","Helm","","Self-Calibrating Goggles","Self-Calibrating Goggles","","","","Level 2 :","Medicae","","Level 17 :","Linchpin","","Level 37 :","Lore Imperium","Undisputed Advantage","","Helm","Tactical Goggles","Gunslinger's Helmet","Gunslinger's Helmet","Gunslinger's Helmet / Face of the Sovereign","","","Level 2 :","Medicae","","Level 17 :","Linchpin","","Level 37 :","Awareness","Dawn of Victory","","Helm","Pinpoint Visor","Gunslinger's Helm","Commissar Cap / Gunslinger's Helm","Commissar Cap / Gunslinger's Helm","","","Level 2 :","Coercion","","Level 17 :","Linchpin","","Level 37 :","Coercion","Dawn of Victory","","Helm","Ancient Terra Monocle","Commander's Monocle","Commissar Cap","Commissar Cap","","","","","","","","","","","","","","","","","",""
"Stats","Level 3 :","Bring it Down !","","Level 18 :","Reliance","","Level 38 :","Ballistic Skill","Calculated Resolve","","Armour","Death World Light Flak Armour","Breacher Armour","Breacher Armour","[Hive world Origin] Voidsmen Armour / Warrior Armour","","","Level 3 :","Endure","","Level 18 :","Always Ready","","Level 38 :","Weapon Skill","Power Armour Proficiency","","Armour","War World Falk Chestplate","War World Origin Enforcer Carapace","War World Origin Enforcer Carapace","Hive world Origin Voidsmen Armour","","","Level 3 :","Revel in Slaughter","","Level 18 :","Always Ready","","Level 38 :","Ballistic Skill","Residual Power","","Armour","Death World Light Flak Armour","Death World Enforcer's Light Carapace","Death World Enforcer's Light Carapace","Hive World Origin Voidsmen Armour","","","Level 3 :","Expose Weakness","","Level 18 :","Hunting Surge","","Level 38 :","Ballistic Skill","Calculated Resolve","","Armour","War World Origin Flak Chestplate","Breacher Armour","Breacher Armour","Hive world origin voidsmen armour","","","Level 3 :","Revel in Slaughter","","Level 18 :","Reliance","","Level 38 :","Ballistic Skill","Lethal Precision","","Armour","Death World Light Flak armour","Breacher Armour","Breacher Armour","Warrior Armour","","","Level 3 :","Revel in Slaughter","","Level 18 :","Reliance","","Level 38 :","Ballistic Skill","Las Weapon Expert","","Armour","Death World Light Flak Armour","Death World Enforcer's Light Carapace","Death World Enforcer's Light Carapace","Hive World Origin Voidsmen Armour","","","Level 3 :","Bring it Down !","","Level 18 :","Reliance","","Level 38 :","Ballistic Skill","Calculated Resolve","","Armour","Death World Light Flak Armour","Breacher Armour","Breacher Armour","Warrior Armour","","","","","","","","","","","","","","","","","",""
"","Level 4 :","Finest Hour","Lasting Impression","Level 19 :","Orchestrated Firestorm","","Level 39 :","Break Their Ranks!","Coercion","","Cloak","Von Valancius Cloak","Tactical Backpack","Tactical Backpack","Tempestus elite carapace backpack","","","Level 4 :","Daring Breach","Thick Skin","Level 19 :","Steady Superiority","","Level 39 :","Taunting Scream","Athletics","","Cloak","Xenopelt Cloak","Malpian Shroud","Malpian Shroud","Malpian Shroud","","","Level 4 :","Firearm Mastery","Point-Blank","Level 19 :","Steady Superiority","","Level 39 :","Entrench","Coercion","","Cloak","Von Valancius Cloak","Tactical Backpack","Tactical Backpack","Tempestus Elite carapace backpack","","","Level 4 :","Dismantling","Tide of Excellence","Level 19 :","Wild Hunt","","Level 39 :","Perfect Spot","Coercion","","Cloak","Camouflage Rope","Von Valancius Cloak","Von Valancius Cloak","Von Valancius Cloak","","","Level 4 :","Firearm Mastery","Muzzle Velocity","Level 19 :","Orchestrated Firestorm","","Level 39 :","Entrench","Lore Imperium","","Cloak","Von Valacius Cloak","Tactical Backpack","Tactical Backpack","Tempestus Carapace Elite Backpack","","","Level 4 :","Firearm Mastery","Muzzle Velocity","Level 19 :","Orchestrated Firestorm","","Level 39 :","Controlled Shot","Awareness","","Cloak","Von Valancius Cloak","Tactical Backpack","Tactical Backpack","Tempestus elite carapace backpack","","","Level 4 :","Finest Hour","Lasting Impression","Level 19 :","Orchestrated Firestorm","","Level 39 :","Break Their Ranks!","Coercion","","Cloak","Von Valancius Cloak","Tactical Backpack","Tactical Backpack","Tempestus elite carapace backpack","","","","","","","","","","","","","","","","","",""
"","Level 5 :","Ballistic Skill","Weapon Personalisation","Level 20 :","Ap +1","Ballistic Skill","Level 40 :","Degraded Defence","Stacking the Deck","","Neck","Amulet of indomitable / Medal of Alacrity","Medal of Alacrity / Chartist Pendant","Medal of Alacrity / Chartist Pendant","Medal of Alacrity / Onslaught Amulet","","","Level 5 :","Ramming Speed","Weapon Skill","Level 20 :","AP +1","Weapon Skill","Level 40 :","Degraded Defence","Dismantle","","Neck","Grace of the Oblivious","Invigorating Resolve","Invigorating Resolve","Invigorating Resolve","","","Level 5 :","Ballistic Skill","Rapid Reload","Level 20 :","Ap +1","Ballistic Skill","Level 40 :","Deadly Aim","Contempt for the Weak","","Neck","","Dog Tags","Dog Tags","Dog Tags","","","Level 5 :","Ballistic Skill","Be Smart","Level 20 :","AP +1 - Ballistic Skill","Plasma Bank","Level 40 :","Deathdealer","Pierce the Armour","","Neck","Hypnotising Pendant","Tarnished Breacher's Aquila","","Synaptic Coagulator","","","Level 5 :","Ballistic Skill","Rapid Reload","Level 20 :","Ap +1","Ballistic Skill","Level 40 :","Deathdealer","Hidden Advantage","","Neck","","Dog Tag","Dog Tag","Onslaught Amulet","","","Level 5 :","Ballistic Skill","Rapid Reload","Level 20 :","Ap +1","Ballistic Skill","Level 40 :","Deadly Aim","Stacking the Deck","","Neck","","Dog Tags","Dog Tags","Onslaught Amulet","","","Level 5 :","Ballistic Skill","Be Smart","Level 20 :","Ap +1","Ballistic Skill","Level 40 :","Degraded Defence","Stacking the Deck","","Neck","Medal of Alacrity","Medal of Alacrity","Medal of Alacrity","Onslaught Amulet","","","","","","","","","","","","","","","","","",""
"","Level 6 :","Decisive Response","Ballistic Skill","Level 21 :","Ballistic Skill","Joint Offensive","Level 41 :","Ballistic Skill","Steel Resolve","","Accessory 1","Theodora's Rosary","Pair Holster","Pair Holster","Pair Holster","","","Level 6 :","Sworn Enemy","Athletics","Level 21 :","Broad Expertise","Weapon Skill","Level 41 :","Weapon Skill","Crowd Kill","","Accessory 1","First Aid Manual","","","","","","Level 6 :","Ballistic Skill","Rapid Fire","Level 21 :","All out","Ballistic Skill","Level 41 :","Ballistic Skill","Enough Bullets for everyone","","Accessory 1","","Pair Holster","Pair Holster","Pair Holster","","","Level 6 :","Uncanny Sight","Ballistic Skill","Level 21 :","Ballistic Skill","Hunter's Ambush","Level 41 :","Ballistic Skill","Comprehensive Analysis","","Accessory 1","","Pair Holster","Pair Holster","Pair Holster","","","Level 6 :","Ballistic Skill","Rapid Fire","Level 21 :","Ballistic Skill","Joint Offensive","Level 41 :","Ballistic Skill","Fortress","","Accessory 1","Theodora's Rosary","Pair Holster","Long-range Aim lens","Tactica Imperialis Excerpt","","","Level 6 :","Ballistic Skill","Rapid Fire","Level 21 :","Ballistic Skill","Joint Offensive","Level 41 :","Ballistic Skill","Enough Bullets for Everyone","","Accessory 1","","Pair Holster","Pair Holster","Pair Holster","","","Level 6 :","Decisive Response","Ballistic Skill","Level 21 :","Ballistic Skill","Joint Offensive","Level 41 :","Ballistic Skill","No Respite","","Accessory 1","Theodora's Rosary","Pair Holster","Pair Holster","Pair Holster","","","","","","","","","","","","","","","","","",""
"","Level 7 :","Move, Move, Move","Summary Execution","Level 22 :","Inspire","","Level 42 :","Finish the Job","Fellowship","","Accessory 2","","Saint Cognacious Scriptures","Saint Cognacious Scriptures","Commander's Chrono","","","Level 7 :","Weapon Skill","Duelling Mastery","Level 22 :","Wildfire","Let Them Know Fear!","Level 42 :","Kick","Toughness","","Accessory 2","","","","","","","Level 7 :","Agility","1 for the Enemies, 2 for the traitors","Level 22 :","Wild Fire","Dual-Weapon Combat","Level 42 :","Kick","Perception","","Accessory 2","","Enemy Finder / Portative Manipulator","Enemy Finder / Portative Manipulator","Commander's Chrono / Bead of Might","","","Level 7 :","Tactical Knowledge","Coercion","Level 22 :","Cull the bold","","Level 42 :","Raid","Intelligence","","Accessory 2","","Saint Cognatius's Scriptures","Saint Cognatius's Scriptures","Saint Cognatius's Scriptures","","","Level 7 :","Agility","Be Smart","Level 22 :","Inspire","","Level 42 :","Finish the Job","Agility","","Accessory 2","Book of War prayers","Saint Cognatius's Scriptures","Saint Cognatius's Scriptures","Saint Cognatius's Scriptures","","","Level 7 :","Agility","Let them Know Fear!","Level 22 :","Inspire","","Level 42 :","Finish the Job","Agility","","Accessory 2","","Enemy Finder","Enemy Finder","Commander's Chrono / Bead of Might","","","Level 7 :","Move, Move, Move","Summary Execution","Level 22 :","Inspire","","Level 42 :","Finish the Job","Intelligence","","Accessory 2","","Saint Cognacious Scriptures","Saint Cognacious Scriptures","Commander's Chrono","","","","","","","","","","","","","","","","","",""
"","Level 8 :","Focus!","Coercion","Level 23 :","Unwavering Motivation","Coercion","Level 43 :","Undisputed Advantage","Residual Power","","Gloves","Thrice-Pioneer's Bracers","Deflection Gloves","Gloves of Rapid Desolation","Gloves of Rapid Desolation","","","Level 8 :","Athletics","Impetus","Level 23 :","Athletics","All Out","Level 43 :","Martial Art","Residual Power","","Gloves","Gloves of endurance","Adaptive Gloves","Adaptive Gloves","Adaptive Gloves","","","Level 8 :","Unfaltering Fire","Coercion","Level 23 :","Coercion","Flashfire","Level 43 :","Ingenious","Motive-Force Overload","","Gloves","Thrice-Pioneer's Bracers","Deflection Gloves / Recoil Gloves","Gloves of Rapid Desolation","Gloves of Rapid Desolation / Compensator Gloves","","","Level 8 :","Improved Tactics","Summary Execution","Level 23 :","Heightened Concentration","Coercion","Level 43 :","Kill Squad","Residual Power","","Gloves","Sniper Gloves","Marksman Bracers","Apex Predator's Gloves","Apex Predator's Gloves","","","Level 8 :","Unfaltering Fire","Coercion","Level 23 :","Unwavering Motivation","Lore Imperium","Level 43 :","Brink of Death","Calculated Resolve","","Gloves","Stabilising Bracers","Marksman's Gloves","Current Amplifiers","Current Amplifiers / Compensator Gloves","","","Level 8 :","Unfaltering Fire","Coercion","Level 23 :","Unwavering Motivation","Awareness","Level 43 :","Undisputed Advantage","Calculated Resolve","","Gloves","Thrice-Pioneer's Bracers","Deflection Gloves / Recoil Gloves","Gloves of Rapid Desolation","Gloves of Rapid Desolation / Compensator Gloves","","","Level 8 :","Focus!","Coercion","Level 23 :","Unwavering Motivation","Coercion","Level 43 :","Undisputed Advantage","Residual Power","","Gloves","Thrice-Pioneer's Bracers","Deflection Gloves","Gloves of Rapid Desolation","Gloves of Rapid Desolation / Compensator Gloves","","","","","","","","","","","","","","","","","",""
"","Level 9 :","Finest Hour IV","","Level 24 :","Fellowship","1 for the enemy, 2 for the traitors","Level 44 :","Persuasion / Lore Imperium","Eager Subordinates","","Boots","","Commissar Boots","Commissar Boots / Recoil Warboots","Commissar Boots / Recoil Warboots","","","Level 9 :","Daring Breach II","","Level 24 :","Toughness","Power Weapon Expert","Level 44 :","Coercion","Destroyer","","Boots","Pneumo Boots","Pneumo Boots","Pneumo Boots","Void Vetran Boots","","","Level 9 :","Firearm Mastery II","","Level 24 :","Agility","Let them Know Fear!","Level 44 :","Demolition","Extermination","","Boots","Warmonger Boots","Warmonger Boots","Recoil Warboots","Recoil Warboots / Caligae of Saint Keefe","","","Level 9 :","Dismantling III","Coercion","Level 24 :","Intelligence","Safety Training","Level 44 :","Lore Imperium","Extermination","","Boots","Warmonger Boots","Warmonger Boots","Sharpshooter boots","Heavy Breacher's Boots","","","Level 9 :","Firearm Mastery II","","Level 24 :","Intelligence","Liturgy of Insulation","Level 44 :","Lore Imperium","Degraded Defence","","Boots","Warmonger's boots","Inertia Boots","Inertia Boots","Inertia Boots","","","Level 9 :","Firearm Mastery II","","Level 24 :","Agility","Doing My Part","Level 44 :","Coercion","Extermination","","Boots","Warmonger Boots","Warmonger Boots","Recoil Warboots","Recoil Warboots / Caligae of Saint Keefe","","","Level 9 :","Finest Hour IV","","Level 24 :","Intelligence","1 for the enemy, 2 for the traitors","Level 44 :","Lore Imperium","Eager Subordinates","","Boots","","Commissar Boots","Recoil Warboots","Recoil Warboots / Commissar Boots","","","","","","","","","","","","","","","","","",""
"","Level 10 :","Commerce","Fellowship","Level 25 :","Hidden Advantage","","Level 45 :","Ap +1","","","Weapon Set 1","Ripper Autopistol","Mezoa Pattern Auto pistol","Mezoa Pattern Auto pistol","Daredevil Pistol","","","Level 10 :","Opening Strike","Strength","Level 25 :","Flashfire","","Level 45 :","AP +1","","","Weapon Set 1","Ripper Pistol / Foehammer","Mezoa Pattern Auto pistol","Mezoa Pattern Auto pistol","Daredevil Pistol","","","Level 10 :","Fired Up","Agility","Level 25 :","Dismantle","","Level 45 :","AP +1","","","Weapon Set 1","Ripper Autopistol","Mezoa Pattern Auto pistol","Mezoa Pattern Auto pistol","Daredevil Pistol","","","Level 10 :","Lore Imperium","Intelligence","Level 25 :","Savour the kill","","Level 45 :","AP +1","","","Weapon Set 1","Plasma Pistol","Retobi-Pattern Plasma Pistol","Procyon A Plasma Pistol","Plasma Pistol with Cryo-Module","","","Level 10 :","Fired Up","Agility","Level 25 :","Against All Odds","","Level 45 :","AP +1","","","Weapon Set 1","Arc Rifle","Alpha's Arc Rifle","Alpha's Arc Rifle","Arc Rifle Mindstorm","","","Level 10 :","Alacrity","Agility","Level 25 :","Hidden Advantage","","Level 45 :","Ap +1","","","Weapon Set 1","Ripper Autopistol","Mezoa Pattern Auto pistol","Mezoa Pattern Auto pistol","Daredevil Pistol","","","Level 10 :","Commerce","Intelligence","Level 25 :","Hidden Advantage","","Level 45 :","Ap +1","","","Weapon Set 1","Ripper Autopistol","Mezoa Pattern Auto pistol","Mezoa Pattern Auto pistol","Daredevil Pistol","","","","","","","","","","","","","","","","","",""
