"Necklaces Name","https://roguetrader.wh40k.wiki/Category:Necklace Description","Locations","Acts","Notes","","","","","","","","","","","","","","","","","","","","",""
"Grace of the Oblivious","Grants +5 Toughness if the wearer has less than 35 Intelligence","","0","","","","","","","","","","","","","","","","","","","","","",""
"Daemon Tool","When weaer inflict warp dmg, target suffers burning (3) burning effects inflicted by the wearer scale with veil degregation","Rykad Minoris underground puzzle","1","","","","","","","","","","","","","","","","","","","","","",""
"Denial of Nightmares","Worn by Psykers, gain immunity to Horrors of the Warp","Astropathic Station VX-02-537","1","","","","","","","","","","","","","","","","","","","","","",""
"Gem of Dark Vitality","Requires Heretical. +4 max wounds. If veil degradation is above 15: +10 toughness and the wearer regenerates heretic level wounds each round","Rykad Minoris after parade (i think Aurora drop)","1","","","","","","","","","","","","","","","","","","","","","",""
"Hypnotising Pendant","When the wearer hits with shingle-shot attack, the tarhet suffers slowed until the wearer's next turn.","Rykad Minoris","1","","","","","","","","","","","","","","","","","","","","","",""
"Martyr's Bone Charm","Equip by Blood Cult Assassin, when affected by blood, gain 10 TGH for 2 rounds, DOES NOT STACK","Freight Line","1","","","","","","","","","","","","","","","","","","","","","",""
"Medal of Alacrity","Wearer's Bring It Down! first time in combat on ally gives + 1 AP","Fellowship of the Void ","1","","","","","","","","","","","","","","","","","","","","","",""
"Missionary Oath","Once per combat, if the wearer does not use any abilities during their turn, they can endtheir turn to immediately grant all adjacent allies an extra turn with 1AP","Voidship Shrine","1","dialogue puzzle to the left after entering location","","","","","","","","","","","","","","","","","","","","",""
"Amulet of Indomitable Spirit","Once per battle, when a character's health drops to 0, they recover 20% of their maximum health.","A reward for completing the ""Grim Darkness"" mode for subsequent playthroughs. In the Lord Captain's Vault.","1","","","","","","","","","","","","","","","","","","","","","",""
"Denial of nightmares","An amulet that belonged to an astropath who steadfastly resisted the horrors of the warp. The previous owner met a terrible end, but his unbending will lives on in this icy relic.

If the character is a psyker, they gain immunity to the horrors of the warp.","(Void Shadows DLC)
Astropathic Station in the Rykad System
Knowledge: Warp check required","1","","","","","","","","","","","","","","","","","","","","","",""
"Amulet made from the bone of a martyr","If the character is a Death Cult Assassin and is affected by the Blood Vial, they gain +10 Stamina for 2 rounds. This effect does not stack.","(Void Shadows DLC)
freight line, chest behind tripwires near Eden","1","","","","","","","","","","","","","","","","","","","","","",""
"Missionary Oath","An ancient scroll containing a solemn vow of service to the Emperor. Written by an unknown missionary from the words of the great Nadine Aleinikov.

Once per battle, while a character hasn't used any abilities during their turn, they can end that turn to immediately grant all allies on adjacent squares an extra turn with 1 AP.","(Void Shadows DLC)
Ship Shrine, Orb Puzzle","1","","","","","","","","","","","","","","","","","","","","","",""
"Anatomist Necklace","If wearer inflict bleeding, burning, toxin then wearer inflict +2 more stacks","kasballica 4. pf58","2","","","","","","","","","","","","","","","","","","","","","",""
"Blessing of the Warp Spider","Whenever the owner kills an enemy or crit, they gain +2 to MP for their next turn.","Janus Proj. 2 Event","2","","","","","","","","","","","","","","","","","","","","","",""
"Charitist's Pendant","Grants +5 FEL and +10 commerce. If dogmatic rank2+, their Lore Imperium will depend on FEL instead of INT and gain +10 Lore Imperium","Janus Awareness check by the sea","2","","","","","","","","","","","","","","","","","","","","","",""
"Chirugeon's Vow","TGH increase by Medicae/10","Mu-Rho 79 system - Space Combat (Allied with Navy)","2","","","","","","","","","","","","","","","","","","","","","",""
"Focus Incense","Each use of Revel in Slaughter increase PER +10 until the end of combat. Stacks","Footfall: Dreams and Stories Puzzle","2","","","","","","","","","","","","","","","","","","","","","",""
"Heart of the Nameless","Lore Xenos +10. If Iconoclast 45, +10 to all skills","Janus Porj.1","2","","","","","","","","","","","","","","","","","","","","","",""
"Princess of Efreet","Add + FEL bonus to all skills.","Pick necklace for Jae","2","","","","","","","","","","","","","","","","","","","","","",""
"Psychic Ward","While Veil Deg >= 10, wearer deal (WPb + PERb) % more bonus dmg with all psyker power. Unsanctioned only","Dargonus Proj. 3 event","2","","","","","","","","","","","","","","","","","","","","","",""
"Relics of Unknown Saints","If wearer has lass than 50% wounds, every second attack is auto dodged, lasts for up to 2 rounds","Nemesite Confrontation loot","2","","","","","","","","","","","","","","","","","","","","","",""
"Requiemator","Whenever wearer kills a target with melee attack, enemies in 2 cell radius around wearer suffer wearer's WP bonus mental damage","Foulstone Proj.2 Hallowed Railway","2","","","","","","","","","","","","","","","","","","","","","",""
"Unholy Shard","Reduces all toxic dmg suffered by wearer by 50%. If wearer is Heretical rank 3 they heal ""heretical rank"" wounds each time they suffer toxic damage","Pillars of Viridice - Inquisition Shipwreck","2","","","","","","","","","","","","","","","","","","","","","",""
"Aquila Pendant","Grants +10 Willpower, If Dogmatic +5 Fellowship","Gutted Voidship - Pulvis Platinum","2","","","","","","","","","","","","","","","","","","","","","",""
"Vortex Pendant","Wearer gain +5WP each time they use an abillity on an ally. Stacks until end of combat","kasballica 10. pf67","2","","","","","","","","","","","","","","","","","","","","","",""
"Wraithbone Necklace","PER & AGI + 10","Janus Forest","2","","","","","","","","","","","","","","","","","","","","","",""
"Lady theodora's Immaculacy","Commers/5 + Persuasion","Ship Crypt: Abulation in Blood","2","","","","","","","","","","","","","","","","","","","","","",""
"Blessed Bolter Casing","This amulet grants its wearer a +1 MP. It also grants a +5 bonus on Initiative rolls.","Dead World of the Omicron system","2","","","","","","","","","","","","","","","","","","","","","",""
"","When a character makes an area attack, for 1 round the evasion of enemies in that area is reduced by (2 x INT bonus)%, and the evasion of allies is increased by (2 x INT bonus)%.","(Void Shadows DLC)
Plasma Engine Chamber, chest on the elevator","2","","","","","","","","","","","","","","","","","","","","","",""
"The Flawlessness of Lady Theodora","Lady Theodora's ashes, transformed under immense Coercion into a magnificent diamond and interred in the ship's vault. The stone shimmers with sapphire hues veined with gold and violet, reminiscent of the von Valantius family colors.

The character's Persuasion increases by (Commerce / 5)","(Void Shadows DLC)
crypt, take Theodora's ashes after the battle","2","","","","","","","","","","","","","","","","","","","","","",""
"Relics of unnamed saints","While the character's health is below 50%, they automatically dodge every other attack. The effect lasts no longer than 2 rounds.","(Void Shadows DLC)
From the body of a kelermorph","2","","","","","","","","","","","","","","","","","","","","","",""
"The Surgeon's Vow","The character's stamina is increased by (Medicae / 10)","(Void Shadows DLC)
Star Battle in the Muro 79 system, side with the admiral","2","","","","","","","","","","","","","","","","","","","","","",""
"Dog ​​tags","Upon killing a target for the first time in a round, the character receives +10 to all stats until the end of the round.","(Lex Imperialis DLC)
""Heartless,"" you must successfully restore power to the Drukhari machine, then pass all the checks and open the sphere.","2","","","","","","","","","","","","","","","","","","","","","",""
"Necklace with tassercium","A luxurious gold necklace adorned with finely polished, glittering tassertium.

When summoning warp threats, the character gains (5 x their WP bonus) temporary health and does not provoke attacks of opportunity for the rest of their turn. Warp threats always manifest as the summoning of a daemon.","(Lex Imperialis DLC)
Tassera, in dialogue with Maeve, take the necklace for yourself","2","","","","","","","","","","","","","","","","","","","","","",""
"Vox beacon","If a character is an Overseer, using the archetype's first ability in a round does not cost any AP.","(Lex Imperialis DLC)
Explorators","2","","","","","","","","","","","","","","","","","","","","","",""
"A good quality shield mount","One of the metal skulls bears the creator's signature, and his vanity is understandable: this belt is the pinnacle of leatherworking.

If the character is holding a shield, they can use Shield Slam against multiple enemies in an area of ​​effect. Their shield attacks deal +(CON bonus) additional damage.","Drusians - Level 9","2","","","","","","","","","","","","","","","","","","","","","",""
"An ironclad argument","The character gains +(4 x BS Bonus) to Coercion","(Lex Imperialis DLC)
Kasballica Mission","2","","","","","","","","","","","","","","","","","","","","","",""
"Mystic Ward","At start of combat, all alies gain (3 x Psyker's PR) deflection. If psyker take any actual wound dmg, benefit go away","Comorragh ","3","","","","","","","","","","","","","","","","","","","","","",""
"For the Defence of Cadia","When wearer gains stack of versatility, they gain 3 momentum","Mangled Sector - Safe","3","","","","","","","","","","","","","","","","","","","","","",""
"The Last Flash","When wearer is a target of AoO, the attacker becomes blinded for 1 turn","","3","","","","","","","","","","","","","","","","","","","","","",""
"Honour Insignia","If only one of the Wearer's combat area is active, Wearer gain +20 FEL and INT","Looting Commisar Arsenal post Kill","3","","","","","","","","","","","","","","","","","","","","","",""
"Warlord's Amulet","Grants +wearer INT bonus% dodge to the wearer and their allies","Yremeryss loot","3","","","","","","","","","","","","","","","","","","","","","",""
"Unholy Relics","Grants wearer +20 Coercrion and +5 penalty to Intelligence","Omicron system rumour - Artificial object","4","","","","","","","","","","","","","","","","","","","","","",""
"Cassia's Girft","REQ: Cassia romance active and Cassia didnt go to act 3 //// RT ITEM ONLY /// As long as Cassia remains the in the party this amulent grants RT and Cassia + Cassia WP bonus to all their characteristics","Cassia gift after coming back from act 3 ","4","","","","","","","","","","","","","","","","","","","","","",""
"Saint's Bone Charm","Equip by Death Cult Assassin, when affected by blood, gain 20 TGH for 2 rounds, DOES NOT STACK","Gift from Viszier when arriving to the Temple after the train ambush","4","","","","","","","","","","","","","","","","","","","","","",""
"Sire's Patternronage","Wearer can skip their turn to make an ally of their choice immune to all damage until the start of the wearer's next turn. Once per combat","Sire Loot DLC quest","4","","","","","","","","","","","","","","","","","","","","","",""
"Amulet of the Pauper Princes","REQ Dogmatic rank 1. In the first round of combat wearer's MP is doubled","Omicron system rumour - Finger of Sorrow","4","","","","","","","","","","","","","","","","","","","","","",""
"Dashing Aquila","Wearer gains dash ability that costs 0AP, and can be performed twice per round. When wearer uses Dash, all adjacent enemies suffer -30 Perception until the start of the wearer's next turn. doesn't stack","Argenta quest location","4","","","","","","","","","","","","","","","","","","","","","",""
"Flashlight Emitter","When wearer is a target of AoO, the attacker becomes blinded for 1 turn. The wearer will perform their lowest cost AP attack against this enemy (including attacks with ranged weapon)","Footfall - fellowship max rank reward","4","","","","","","","","","","","","","","","","","","","","","",""
"Laurels of Command","Wearer gains Move!Move!Move! ability costing 0AP. Wearer and target of ability are immune to slow until end of round ","Drusian Rep 17, pf 60","4","","","","","","","","","","","","","","","","","","","","","",""
"Psy Focus","Wearer deals 5 x PR warp dmg with melee attacks.Whenever wearer suffers critical hit, dodge and armour -30% until end of combat","Drusian Rep 18, pf 67","4","","","","","","","","","","","","","","","","","","","","","",""
"Laughing God's Pendant. ","Wearer gain Assassin Danse Macabre ability. Basically 2 dashes that can go through target, provoke AoO","Kasballica 19. pf 82","4","","","","","","","","","","","","","","","","","","","","","",""
"Onslaught Amulet","After using Press the Advantage, effects depends on how much Tact stacks have left. > 5: next attack ignores deflection. >10 next attack ignores cover. >15: Next attack ignores dodge.  If wearer has undisputed advantage talent, press the advantage only cost 1/4 tact stacks","Void 27. pf90","4","","","","","","","","","","","","","","","","","","","","","",""
"Slicing Symbol","Whenever use, Slash, Dash, Kick, gain +AGIb MP and (wearer's resolve / 2 + 1) momentum","Void 31. pf111","4","","","","","","","","","","","","","","","","","","","","","",""
"Starmist Scarf","Gain +2 PR. If not wearing armor, gain 20 + 4 x WP bonus dodge","Void 35. pf123","4","","","","","","","","","","","","","","","","","","","","","",""
"Ommisiah Holy Symbol","Tech Use & Logic +20. Reroll failed Tech Use and Logic Test once per test","Mechanicus 22. pf 76","4","","","","","","","","","","","","","","","","","","","","","",""
"Amulet made from the bone of a saint","If the character is a Death Cult Assassin and is affected by the Blood Vial, they gain +20 Stamina for 2 rounds. This effect does not stack.","(Void Shadows DLC)
Death Cult Temple, Gift from Visir","4","","","","","","","","","","","","","","","","","","","","","",""
"Patronage of the Ancestor","A character can skip their turn to grant immunity to all damage to a target ally until their next turn.

Can only be used once per battle.","(Void Shadows DLC)
sire fight","4","","","","","","","","","","","","","","","","","","","","","",""
"Amulet of the Predatory Star","An amulet in the shape of a fanged serpent with a sharp tail and three clawed legs, belonging to a Magus of the Pauper Princes Genescult.

In the first round of combat, the character has double the AP.","(Void Shadows DLC)
Omicron, Finger of Death ship","4","","","","","","","","","","","","","","","","","","","","","",""
"Adrenaline injector","When a character's health drops below 50% for the first time in a battle, they immediately gain temporary health equal to the missing health.","(Lex Imperialis DLC)
Explorators","4","","","","","","","","","","","","","","","","","","","","","",""
"Synaptic coagulator","A mysterious device gifted by Lady Xue. It significantly enhances mental abilities if the owner can endure the pain associated with being connected to the mechanism.

The character gains +15 Intelligence. At the start of their turn, they take 1 direct damage.","(Lex Imperialis DLC)
Janus, Colony Stage 4
Solomon Required","4","Added in patch 1.4.1","","","","","","","","","","","","","","","","","","","","",""
"Ruby splashes","The character can use ranged weapons in melee combat.

Ranged attacks against targets in adjacent squares gain +(3 x PER bonus)% to critical hit chance.","(Lex Imperialis DLC) - only available if you did not bring solomorne to act 3 - Vheabos 6, near Solomon","4","","","","","","","","","","","","","","","","","","","","","",""
"Insignia of Fiery Faith","A character's first melta weapon reload of the round does not cost any AP. Their first melta weapon attack of the battle does not count toward their attack limit per turn.","(Lex Imperialis DLC)
Futfall. ""The Martyr's Fortitude.""
In a safe on the wall in the back room.","4","","","","","","","","","","","","","","","","","","","","","",""
"Hope Pendant","Requires iconoclast rank 3. At the start of each turn (except extra turns), wearer gains +resolve momentum for each ally (including themselves) with 50% or less wounds","Arebennian gift","5","","","","","","","","","","","","","","","","","","","","","",""
"Withering Shard","The wearers STR, TGH and AGI are decreased by -15. The wearer can use heroic acts at 125 momentum instead of 175 and desperate measures at +50 momentum higher (capped at 100). the wearer is considered heretical rank2 if they dont have it yet","AN#8954no01-KT system  - Rocky World","5","","","","","","","","","","","","","","","","","","","","","",""
"Fury Incarnate","When wearer is under the effect of Reckless Rush: all attacks gain +50%crit chance, wearer gains +50% critical damage, all attacks against the wearer gain +50% crit chance and 50% crit dmg","Sanctum of Taaphetus system - Rocky world Surface","5","","","","","","","","","","","","","","","","","","","","","",""
