"Head Name","https://roguetrader.wh40k.wiki/Category:Helmet  Description","Locations","Acts","","","","","","","","","","","","","","","","","","","","","",""
"Deck Officer's Helmet","Grants +5% armour ","","0","","","","","","","","","","","","","","","","","","","","","",""
"Helmet of Devoted Protector","Req. Dogmatic 15. Grants immunity to crits for first 3 rounds","Prologue Captain's Quarter","0","","","","","","","","","","","","","","","","","","","","","",""
"Lexmechanic's Goggles","Grants 3 Logic","","0","","","","","","","","","","","","","","","","","","","","","",""
"Analyst's helmet","Kill target with exploit with single/deadeye shot, nearest enemy gain +1 exploit","Rykad Minoris","1","","","","","","","","","","","","","","","","","","","","","",""
"Ancient Terra Monocle","Lore Imperium depends on FEL instead of INT and + 3","Rykad Minoris","1","","","","","","","","","","","","","","","","","","","","","",""
"Helm of Determination","Requires Iconoclast Conviction. Wearer gains 2x FEL Bonus Armor. Gain + Iconoclast rank FEL","Rykad Minoris","1","","","","","","","","","","","","","","","","","","","","","",""
"Noise Suppresion Helm","Wearer kill in 1 cell radius with a shot, gain 1 resolve","Pirate","1","","","","","","","","","","","","","","","","","","","","","",""
"Pinpointing Visor","Crit Chance +15% against enemies with less than 50% HP","Rykad Minoris Tech Temple","1","","","","","","","","","","","","","","","","","","","","","",""
"Warp Seer's Goggles","Grants +WP bonus Lore (warp)","Eurac V","1","","","","","","","","","","","","","","","","","","","","","",""
"Tactical Goggles","Grants +5% to hit chance and +3% to critical hit chance","Eurac V","1","","","","","","","","","","","","","","","","","","","","","",""
"Bloodspinner's Mask","A mask, as tattered as a corpse's shroud, is the messenger of death. The gaze of its impassive, skeletal face carries an inexorable promise—every life is destined to end one day.

If a character is affected by 10 or more levels of Crimson Blessing, their Resolve increases by 1.","(Void Shadows DLC) Kibellah Starting Gear","1","","","","","","","","","","","","","","","","","","","","","",""
"Chartist's Monocle","This monocle grants the wearer a +15 bonus to Commerce Tests.","Sotto's Tomb System - Hulk","2","","","","","","","","","","","","","","","","","","","","","",""
"Commander's Monocle","Ally under the effect of wearer's Voice of Command gain + (3 x FEL Bonus)% dmg for attacks during extra turns","Footfall Atrium Atheltics Check","2","","","","","","","","","","","","","","","","","","","","","",""
"Cultist Hood","Heretic rank 2 req. When wearer use attack psychic power, 50% restore 2ap or take 10 warp dmg ","Footfall. Shadow Quarters Argenta quest Cutists Lair","2","","","","","","","","","","","","","","","","","","","","","",""
"Dark Visionary Hood","This hood grants the wearer a +10 bonus to Willpower and +15% dmg to psychic and navigator power for a -10 penalty to WS and BS.","drusian rep7. pf 29","2","","","","","","","","","","","","","","","","","","","","","",""
"Enforcer Helmet","All targets of Taunting Scream suffer a (2 x (STR Bonus + TGH Bonus)) penalty to their Willpower Test against this ability.","Drusian rep 0. pf16","2","","","","","","","","","","","","","","","","","","","","","",""
"The Guardian Crown","Grants +10 TGH Once per combat: Whenever the wearer's Wounds drop below 35%, the wearer gains 3xTGH Wounds.","Idira Side quest with pink horror","2","","","","","","","","","","","","","","","","","","","","","",""
"Foulsight Veil","PER + 15. -5 WP, Aeldari Equipment","Latotian Passage system - Unidentified Ruins puzzle","2","","","","","","","","","","","","","","","","","","","","","",""
"Gunslinger's Helmet","Give Wearer ranged attack 2 x ROF% more dmg","Langrenns Belt system - Plundered Station ","2","","","","","","","","","","","","","","","","","","","","","",""
"Interrogation Goggles","These goggles grant the wearer a +5 bonus to Lore (Xenos) Tests. They also grant a +10% to Hit Chance against xenos.","Footfall Docks","2","","","","","","","","","","","","","","","","","","","","","",""
"Outcast's Visor","Aeldari. Whenever wearer kill a target with a single ranged attack first time in combat, gain another attack this round","Kasballica 5. pf66","2","","","","","","","","","","","","","","","","","","","","","",""
"Peripheral Visor","Each time wearer spend 10 tact advantage stacks. Gain 1 resolve","Kasballica 0. pf58","2","","","","","","","","","","","","","","","","","","","","","",""
"Pirate's Eyepatch","Coercion +20. Awareness - 5","Footfall Shadow Quarters Dark Hideout","2","","","","","","","","","","","","","","","","","","","","","",""
"Poet's Grace","Aeldari. Wearer gain +25 Commerce & Persuasion","Void rep19. pf54","2","","","","","","","","","","","","","","","","","","","","","",""
"Provocateur Helmet","Applies -10 PER to all attacks against the wearer and to all enemies in with 2 cell radius for 2 rounds","Aviorus System - Drifting Voidship","2","","","","","","","","","","","","","","","","","","","","","",""
"Self Calibrating Goggles","Wearer's successful single attacks inflict stun for 1 round on target that fails WP -5 penalty test","kasballica 8. pf43","2","","","","","","","","","","","","","","","","","","","","","",""
"Ranger's Visor","Grant +10 BS. Aeldari Only","Langrenns Belt system - Plundered Void Station","2","","","","","","","","","","","","","","","","","","","","","",""
"Sniper's Bravado ","If wearer's single shot ranged attack deals dmg => 25% if the targets max wounds, this attack randomly inflicts blind, stagger or slow to the target for 1 round","Mu-Rho 79 system - Space Combat (Allied with Pirates)","2","","","","","","","","","","","","","","","","","","","","","",""
"Tamer of the empyrean","If psychic phenomena or perils are triggered the wearer gains +1 psy rating during their next turn","Void shadows DLC - Bath Investigation puzzle solved -> Pelium Solitas System-> Savannah World","2","","","","","","","","","","","","","","","","","","","","","",""
"Targeting Visor","Aeldari. Increase chance to hit at 10+ range by 20%","Explorators Rep10. PF32","2","","","","","","","","","","","","","","","","","","","","","",""
"Visor of inevitability","Gain 1 stack of inevitability whenever inflict DoT. At 10 stacks, deal Medicae/10 Direct damage to all target inflicted with DoT and remove all inevitability stacks","Explorators Rep 17. PF44","2","","","","","","","","","","","","","","","","","","","","","",""
"Coordinate Oracle ","Grants +15 awareness","Gift during Magnae Accensio","2","","","","","","","","","","","","","","","","","","","","","",""
"Visor of Inevitability","When applying a damage-over-time effect, the character gains +1 level of inevitability.

Once the character reaches 10 levels of inevitability, they deal (Medicae / 10) direct damage to all enemies affected by damage-over-time effects, after which all levels of inevitability are removed.","(Void Shadows DLC) Explorators","2","","","","","","","","","","","","","","","","","","","","","",""
"Taner if the Empyrean","When perils of the warp is triggered, the next turn, the character's Psy-rating increases by 1","(Void Shadows DLC) Stars Will Lead the Way","2","","","","","","","","","","","","","","","","","","","","","",""
"Sniper bravado","When a character's single ranged attack deals damage equal to or greater than 25% of the target's maximum health, the attack blinds, stuns, or slows the target for 1 round (the effect is random).","(Void Shadows DLC) Mu-Ro 79 System, join the pirates in space combat","2","","","","","","","","","","","","","","","","","","","","","",""
"Adeptus Arbites Helmet","The rim of the helmet is inscribed with ornate letters: ""He was keen-sighted: not a single vice of his rotten soul, not a single shadow in the pitch darkness of lawlessness, escaped the all-seeing gaze of Severius Meragon.""

The character gains +15 to Coercion. If they are an Arbiter, the increase to Coercion is +20.","(Lex Imperialis DLC) Footfall docks","2","","","","","","","","","","","","","","","","","","","","","",""
"Wrathful Mask","An unusual mask made of red metal: its mouth is distorted into a snarl, and its lips are torn into fangs.

The character gains +10 Attack Power.

Damage taken by the character is reduced by (Attack Power / 10) if the attacker does not have melee advantage.","(Lex Imperialis DLC) Thassera","2","","","","","","","","","","","","","","","","","","","","","",""
"Thassertium mask","A mask completely covered in glittering Thassertiumtium.

The character gains +1 to their Psyonic rating and +15 to their Persuasion.

If warp threats result in a daemon manifesting, that daemon attacks the nearest non-daemon target.","(Lex Imperialis DLC) Thassera- Awarded by the Governor for placing all four info seals (whether you didn't guess all the hypocrites or not is irrelevant).","2","","","","","","","","","","","","","","","","","","","","","",""
"The Unsleeping Eye","When the wearer kills an enemy with finish the job, the wearer gains a 20% bonus to damage for 1 round and removes the cooldown on their orchestrated firestorm and last volley abilities","Govenor's Camp after Drukhari ambush","2","","","","","","","","","","","","","","","","","","","","","",""
"Tactical Vox Transmitter","If the character is an Arbiter with the Accuser specialization, the range of their Accuser abilities is increased by 1 cell.","(Lex Imperialis DLC) Heartless
","2","","","","","","","","","","","","","","","","","","","","","",""
"Swashbuckler's Goggles","Wearer's shot in melee range gain +20 Dodge Reduc","Tervintas Trade","3","","","","","","","","","","","","","","","","","","","","","",""
"Commissar Cap","Grant's +10 Fellowship. Grants whole party (+wearer's FELb %) critical hit chance","Commisar Reward as well as killing Commisar, Commisar Stash","3","","","","","","","","","","","","","","","","","","","","","",""
"Peripheral Control Monocle","Using non attack ability grants wearer +5% dodge and parry for each enemy adjacent to the wearer for 1 round. Stacks","","3","","","","","","","","","","","","","","","","","","","","","",""
"Tactical Genius","When wearer successfully dodges or parries incoming attack, they gain +10 momentum","Mangled Sector - skill check behin demolition check near Commissar","3","","","","","","","","","","","","","","","","","","","","","",""
"Carmine Crown","When bleeding, burning or toxin effect inflicted by the wearer deals damage, the eemy suffers -5%armour penalty against only yhr wearer's attacks and the wearer gains +5% crit chance against that enemy. Stacks","Yremeryss loot","3","","","","","","","","","","","","","","","","","","","","","",""
"Mark 8B3-5 Filter Gas Mask","Wearer is immune to toxin and gains +25 Athletics","Yremeryss loot, Pasqal personal quest location behind hidden door","","","","","","","","","","","","","","","","","","","","","","",""
"Corruption Eradicator Helm","Judging by the neat, fine nicks, the owner of this helmet kept track of the undead he slew. Judging by the number, his service was righteous.

Doubles the character's critical damage bonus against xenos, daemons, and psykers.","(Lex Imperialis DLC) Commissar's Arsenal","3","","","","","","","","","","","","","","","","","","","","","",""
"Eyes of Joyeuse","Gain +1 PR against Daemons and for Each rank of Dogmatic","Janus Proj. 2","4","","","","","","","","","","","","","","","","","","","","","",""
"Enhanced Data-tether Mask","Required reject the flesh rank1. When wearer uses Machine Spirit Communion, their INT is increased by +5 for each affected target until the end of combat","Pasqal personal quest location","4","","","","","","","","","","","","","","","","","","","","","",""
"Tiara of the Immaterium","Wearer gains +10 WP and suffers -50% warp damage","Quetza Temer - Tervantias Lab Idira quest","4","","","","","","","","","","","","","","","","","","","","","",""
"Commander's Visor","Ally under effect of wearer's break their ranks! gain +1 Deflection for each adj. enemy","Explorators 26. pf 108","4","","","","","","","","","","","","","","","","","","","","","",""
"Lingering Whisper ","Wearer deals 10+PERb more dmg to targets with less than 50% wounds","Kibellah final quest reward","4","","","","","","","","","","","","","","","","","","","","","",""
"Crusade Plate Helmet","Asrtartes eq. Wearer's heavy weapon attack gain +50% dmg but never critically hit (except it does with confident approach)","Drusian rep 24. pf 85","4","","","","","","","","","","","","","","","","","","","","","",""
"Demolitionist's goggles","When fail Demolition check, reroll the check with AGI for pass","Kasballica 24. pf 100","4","","","","","","","","","","","","","","","","","","","","","",""
"Ghost Helm","Use WP for Dodge stat instead of AGI. Each dodge increase wearer's PR by +1 until end of next turn. Stacks","Explorators 38 pf 164","4","","","","","","","","","","","","","","","","","","","","","",""
"Mechanicus Respirator","This respirator grants the wearer a +15 bonus to Medicae Tests.","","","","","","","","","","","","","","","","","","","","","","","",""
"Archmachinator's Deceit","Drukhari eq. When wearer uses an attack of a different type than the previous one, they gain momentum equal to their resolve","Quetza Temer - Tervantias Lab","4","","","","","","","","","","","","","","","","","","","","","",""
"Great Librarian Glasses","Grants +20 to all lore skills","Emperor's Plan system - Eufrates II","4","","","","","","","","","","","","","","","","","","","","","",""
"Saboteur's Helmet","Drukhari only. Wearer suffer -35% aoe dmg. First grenade use in a turn does not count towards attack limit","Kasballica 25. pf102","4","","","","","","","","","","","","","","","","","","","","","",""
"Self Calibrating Helmet","Wearer's single shot attack inflict stun if target fails WP -5 check. If wearer attack stunned enemy, next nearest enemy is stunned","Void 28. pf96","4","","","","","","","","","","","","","","","","","","","","","",""
"Steel Guidance","Coercion +25. Whenever wearer targets an ally with ability, ally gain +10% melee dmg until end of the round","Void 24. pf75","4","","","","","","","","","","","","","","","","","","","","","",""
"Hunter's Focus ","Aeldari Equipment. +25 Awareness and +20% critical damage on single shot attacks","Cradle of Khepri system rumour","4","","","","","","","","","","","","","","","","","","","","","",""
"Virtue of Contempt","Req. Astartes. Each time inflict burning with flamers, inflict double the effect","Drusian rep 22. pf 81","4","","","","","","","","","","","","","","","","","","","","","",""
"Visor of Inevitable Retribution","Whenever wearer inflict DoT or kills a target, gain 1 stack of inevitablity. Gaining 6 stacks of inevitability inflict Medicae / 10 direct dmg to all target suffering from DoT and all charges are spent","Explorators 29. pf 127","4","","","","","","","","","","","","","","","","","","","","","",""
"Vivisector's Visor","Wearer's single [gunshot] on target opening deals addition [20% of target max wound]% dmg. Deadeye shot on opening deals [+30% of target max wound]% dmg","Explorators 30. pf 132","4","","","","","","","","","","","","","","","","","","","","","",""
"Arch-Strategist's Visor","Wearer gains an addictional stratagem ability: all allies in the Combat Area, instantly reload their weapons after each attack made by them until the start of the wearer's next turn.","Marazhai going mad during warp travel event","4","","","","","","","","","","","","","","","","","","","","","",""
"Victim's Sorrow","Drukhari eq. When wearer hits a target that is in cover with ranged attack this attack always crits.","Cradle of Khepri system rumour","4","","","","","","","","","","","","","","","","","","","","","",""
"The visor of inevitable retribution","When applying a damage-over-time effect, the character gains +1 level of inevitability.

Once the character reaches 6 levels of inevitability, they deal (Medicae / 10) direct damage to all enemies affected by damage-over-time effects, after which all levels of inevitability are removed.","(Void Shadows DLC) Explorators","4","","","","","","","","","","","","","","","","","","","","","",""
"Demolitionist glasses","When a character fails a Demolitions skill check, they can immediately make another attempt using their Dexterity score.","(Void Shadows DLC) Kasballica Mission ","4","","","","","","","","","","","","","","","","","","","","","",""
"Lingering Whisper ","The character deals (10 + PER bonus) more damage to targets with less than 50% health.","(Void Shadows DLC) Kibellah Questline","4","","","","","","","","","","","","","","","","","","","","","",""
"Purifying Flame Helmet","Judging by the molten metal, the helmet's former owner feared neither fire nor death.

Attacks with melta weapons cost 1 less AP, and the range of such weapons is increased by 2 cells.","(Lex Imperialis DLC) Tervantias' Laboratory, on the table in the corner in front of the grotesques","4","","","","","","","","","","","","","","","","","","","","","",""
