"","https://roguetrader.wh40k.wiki/Category:Star_System Resource System","People ","Provisions ","Chemicals ","Plasteel ","Mechanisms ","Promethium ","Weapons ","Xenotech ","Adamantine ","Flogiston ","","Extractum Resources Low","Event Resources Low","","","","","","","","","","","","",""
"","Adermatt II","","","","2","","7","","","2","","","Medium","Medium","","","","","","","","","","","","",""
"","Agathus Archides","","3","","","","","","","","","","High","High","","","","","","","","","","","","",""
"","Aviorus","","4","","","","","","","2","","","","","","","","","","","","","","","","",""
"","Cradle of Khepri","","","","","","5","","4","","3","","","","","","","","","","","","","","","",""
"","Cranach","","","","3","","","","","","3","","","","","","","","","","","","","","","",""
"","Emperors's Palm","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Forgotten Twins","","","","2","","","","","","","","","","","","","","","","","","","","","",""
"","Frozen Prince","","","","","","5","","","","","","","","","","","","","","","","","","","",""
"","Furibundus","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Hundred Dreams Crossroads","","","","","","6","","","","2","","","","","","","","","","","","","","","",""
"","Langrenn's Belt","","4","","6","","","","","","","","","","","","","","","","","","","","","",""
"","Lapidus Mortus","","","","","","","","3","2","","","","","","","","","","","","","","","","",""
"","Last Chance of Cyrene","","","","","","4","","","","","","","","","","","","","","","","","","","",""
"","Latotian's Passage","","","","","","","","","2","","","","","","","","","","","","","","","","",""
"","Litoribum Maledicta","","2","","","","","","","","","","","","","","","","","","","","","","","",""
"","Mortus Acies","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Mu-Rho 79","","","","5","","","","","","","","","","","","","","","","","","","","","",""
"","Mundus Nullius","","","","2","","","","","","","","","","","","","","","","","","","","","",""
"","Mundus Valancius","","","","","","","","","","4","","","","","","","","","","","","","","","",""
"","Nameless Star","","","","2","","","","","2","","","","","","","","","","","","","","","","",""
"","Narmer IV","","6","","5","","","","","","3","","","","","","","","","","","","","","","",""
"","Nolla Septum","","","","","","7","","","2","","","","","","","","","","","","","","","","",""
"","Odaenathus XI","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Omicron","","","","2","","","","","","","","","","","","","","","","","","","","","",""
"","Orsellio Prophecy","","","","","","5","","","","","","","","","","","","","","","","","","","",""
"","Palatium Stellos","","","","2","","","","2","","","","","","","","","","","","","","","","","",""
"","Pelium Solitas","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Pillars of Virdice","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Porta Septentum","","","","2","","","","","","","","","","","","","","","","","","","","","",""
"","Pulvis Platinum","","","","4","","","","","","","","","","","","","","","","","","","","","",""
"","Silence Of Mer-Segrit","","","","2","","4","","","","5","","","","","","","","","","","","","","","",""
"","Sotto's Tomb","","","","5","","","","","","","","","","","","","","","","","","","","","",""
"","System Speculo","","","","","","","","3","2","","","","","","","","","","","","","","","","",""
"","Telikos Epsilon","","","","3","","","","","","","","","","","","","","","","","","","","","",""
"","Tenebris Aquae","","","","2","","","","","","","","","","","","","","","","","","","","","",""
"","Trinnitos","1","","","7","","","","","","","","","","","","","","","","","","","","","",""
"","Atlas Reach","","","","5","","","","","4","","","","","","","","","","","","","","","","",""
"","Last Chance of Cyrene","","","","","","4","","","","","","","","","","","","","","","","","","","",""
"","Neos Charoitus","","","","1","","","","","3","4","","","","","","","","","","","","","","","",""
"","Silbannacos","","","","","","","","4","","","","","","","","","","","","","","","","","",""
"","Lavella's Heart","","","","","","3","","","","","","","","","","","","","","","","","","","",""
"","","Space Combat Route","","","","Upgrades","","","","","","","","","","","","","","","","","","","","",""
"","Pre Space","1 mu-rho 79 navy vs pirate to gain fighters (Navy Rep)","","","","1, torpedo control by default 2, warp wave, new heading","","","","","","","","","","","","","","","","","","","","",""
"","Dargonus (For Escort)","Pillars of veridace - heriokhs rim station buy","","","","3, shallow jump, focused effort 4, strafe, all hands on deck","","","","","","","","","","","","","","","","","","","","",""
"","10500 Navy Rep","2 sotto's tomb","","","","5, shield pulse, silent running","","","","","","","","","","","","","","","","","","","","",""
"","","3 orsello","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","4 langrenn's belt","","","","","","","","","","","","","","","","","","","","","","","","",""
"","DLC2 Heartless Encounter","5 trinnitos","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Possible after 4","6 kiava gamma","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Can provide Second Escort","7 hundred dream *crossroads use torpedo ultimate*","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","8 latotian's passage","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","8.5 Mer-Sargit Event to save the merchant","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","9 mortus acies","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","10 system speculo","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","11 tenebrous aque","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","12 Porta Septentum","","","","","","","","","","","","","","","","","","","","","","","","",""
"","DLC1 after 13","13 Narmer IV","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","14 Odaenathus XI","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","15 Pillars of veridace - heriokhs rim station","","","","","","","","","","","","","","","","","","","","","","","","",""
