"","https://roguetrader.wh40k.wiki/Trading Name","Faction","Reputation","Act","Profit Factor","","Name","Faction","Reputation","Act","Profit Factor","","Name","Faction","Reputation","Act","Profit Factor","","Name","Faction","Reputation","Act","Profit Factor","","Name","Faction","Reputation","Act","Profit Factor","","Name","Faction","Reputation","Act","Profit Factor"
"","Heavy Leather Armour","Fellowship of the Void","0","1","3","","Multikey x5","Explorators","0","1","6","","Medikit x5","Drusians","0","2","14","","Furore x5","Kasballica Mission","0","2","14","","Voss-Pattern Torpedo Tubes [Plasma]","Imperial Navy","0","2","18","","Domination and Elimination","Curiosity Vendor","0","2","15"
"","Flamer","Fellowship of the Void","0","1","4","","Analyst's Helmet","Explorators","0","1","7","","Enforcer Helmet","Drusians","0","2","16","","[Orthlock-Pattern] Stub Revolver","Kasballica Mission","0","2","12","","Mezoa Lance Weapon","Imperial Navy","0","2","19","","Inanimate Shield","Curiosity Vendor","0","2","35"
"","Camoflage Robe","Fellowship of the Void","0","1","6","","Reflective Shield","Explorators","0","1","8","","Onsalught x 5","Drusians","0","2","17","","Medikit x4","Kasballica Mission","0","2","16","","Mars-Pattern Prow Battery","Imperial Navy","0","2","20","","Death Grip","Curiosity Vendor","0","2","35"
"","Melta Charge x 5","Fellowship of the Void","0","1","8","","Psychic Bodyglove","Explorators","1","1","11","","Imperial Scroll","Drusians","0","2","20","","Aeldari Plasma Grenade x5","Kasballica Mission","0","2","24","","Military Ceramite Voidship Plating","Imperial Navy","1","2","22","","Synergy","Curiosity Vendor","0","2","45"
"","Force Grenade x4","Fellowship of the Void","1","1","11","","Frag Grenade x5","Explorators","1","1","13","","Bloodhound Staff","Drusians","0","2","15","","Commissar Boots","Kasballica Mission","0","2","50","","Glimmer-Pattern Void Shield Array [Prototype]","Imperial Navy","1","2","24","","Winged Delusion","Curiosity Vendor","0","2","35"
"","[War World Origin] Fencing Bodyglove","Fellowship of the Void","1","1","13","","[Mezoa-Pattern] Bolt Pistol","Explorators","1","1","15","","Elite Chainsword","Drusians","1","2","21","","Peripheral Visor","Kasballica Mission","0","2","58","","Scrap Box x3","Imperial Navy","1","2","","","Familiar Maintenance Station Upgrade Kit I","Curiosity Vendor","0","2","50"
"","Stalker Gloves","Fellowship of the Void","1","1","6","","Stabilising Bracers","Explorators","1","1","17","","Sanctified Staff","Drusians","1","2","20","","[Mezoa-Pattern] Hexrifle","Kasballica Mission","0","2","66","","Fortis-Pattern Torpedo Tubes [Plasma]","Imperial Navy","2","2","27","","Grave CHill","Curiosity Vendor","0","2","55"
"","Medikit x9","Fellowship of the Void","1","1","10","","Modified Bolter","Explorators","1","1","10","","Excruciator Maul","Drusians","1","2","20","","Mindscrabler Grenade x5","Kasballica Mission","1","2","18","","Repulsor Shield","Imperial Navy","2","2","19","","Air Support","Curiosity Vendor","0","2","65"
"","Noise Suppression Helmet","Fellowship of the Void","1","1","16","","Medikit x10","Explorators","2","1","12","","Militant Cloak","Drusians","2","2","23","","Bladed Boots","Kasballica Mission","1","2","20","","Lathe-Pattern 2b Engine","Imperial Navy","3","2","32","","Familiar Maintenance Station Upgrade Kit II","Curiosity Vendor","0","2","70"
"","[Mezoa-Pattern] Autogun","Fellowship of the Void","1","1","9","","Plasma Pistol","Explorators","2","1","12","","Cloak of Retribution","Drusians","3","2","26","","Telepath Staff","Kasballica Mission","1","2","20","","Ryza-Pattern Plasma Battery","Imperial Navy","3","2","34","","Analystics Module","Curiosity Vendor","0","2","15"
