"*Scroll right for more variants and down for other origins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"*Download the sheet to navigate to 1.4 builds if you want to use builds that have not been optimised for 1.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ability","Commissar taking command","","","","","","","","","","Skill Options","","","Commissar leading the charge","","","","","","","","","","Skill Options","","","Iconic Commissar (Bolt weapons is for RP, you can drop them to use the stronger foehammers / solid projectile pistols)","","","","","","","","","","Skill Options","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Skill","Hive World - Commissar - Officer - +2 Ballistic Skill / Agility +1 / Perception +1 / Fellowship +2 (For Imperial World Plasma Pistol is a great option)","","","","","","","","","","Commerce / Persuasion / Coercion / Lore Imperium (Chartist Pendant)","","","Imperial World (Fellowship) - Commissar - Soldier - Ballistic Skill +2 / Agility + 2 / Perception +2 (The / on common skills separate alternative paths for those that want to use plasma and those that do not)","","","","","","","","","","Coercion / Demolition / Awareness / Lore Imperium (Chartist Pendant)","","","Hive World - Commissar - Warrior - Weapon Skill +2 / Strength +1 / Toughness +2 / Agi +1","","","","","","","","","","Coercion / Demolition / Awareness / Lore Imperium (Chartist Pendant)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Talent","Officer","","","Master Tactician","","","Exemplar","","","","","","","Soldier","","","Arch-Militant","","","Exemplar","","","","","","","Warrior","","","Arch-Militant","","","Exemplar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Common Talent","Level 1 :","Voice Of Command","","Level 16 :","Tactical Advantage","Press The Advantage","Level 36 :","Eager for Battle *","Be Vigilant! / leader's assault","","","","","Level 1 :","Run and Gun","","Level 16 :","Versatility","","Level 36 :","Eagar for Battle","Rack and Ruin","","","","","Level 1 :","Charge","","Level 16 :","Versitility","","Level 36 :","Peak Condition","Easy Target","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Heroic Action","Level 2 :","Coercion","","Level 17 :","Linchpin","","Level 37 :","Coercion","Stacking the Deck","","Gear to consider","","","Level 2 :","Medicae","","Level 17 :","Reckless Rush","","Level 37 :","Coercion","Exploit Weakness","","Gear to consider","","","Level 2 :","Medicae","","Level 17 :","Reckless Rush","","Level 37 :","Athletics","Critical Versatility","","Gear to consider","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Stats","Level 3 :","Bring it Down !","","Level 18 :","Reliance","","Level 38 :","Perception","Motivation","","Helm","Commissar's Cap / Commander's Monocole / Helm of Determination","","Level 3 :","Revel in Slaughter","","Level 18 :","Always Ready","","Level 38 :","Ballistic Skill","Better to Die for the Emperor / Enhanced Splash Area","","Helm","Commissar's Cap / Gunslinger's Helm","","Level 3 :","Endure","","Level 18 :","Always Ready","","Level 38 :","Weapon Skill","Power Armour Proficiency","","Helm","Commissar's Cap / Tactical Genius / The Guardian Crown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 4 :","Finest Hour","Lasting Impression","Level 19 :","Orchestrated Firestorm","","Level 39 :","Break Their Ranks!","Coercion","","Armour","[Death World Origin] Enforcer Light Carapace / Duellist Uniform / Breacher's Armour / [Hive World Origin] Voidsman's Armour","","Level 4 :","Firearm Mastery","Muzzle Velocity / Point-Blank","Level 19 :","Steady Superiority","","Level 39 :","Entrench","Coercion","","Armour","[Hive World Origin] Voidsmen Armour","","Level 4 :","Daring Breach","Thick Skin","Level 19 :","Steady Superiority","","Level 39 :","Sworn Enemy","Athletics","","Armour","[Death World Origin] Enforcer Light Carapace / [Hive World Origin] Voidsmen Armour","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 5 :","Ballistic Skill","Summary Execution","Level 20 :","Ap +1","Ballistic Skill","Level 40 :","Firebrand *","Undisputed Advantage","","Cloak","Rogue trader's cloak / Mercy's Gift / Von Valancius Cloak / Emergency Vox-Casters / Tactical Backpack / Tempestus Elite Carapace","","Level 5 :","Ballistic Skill","Rapid Reload","Level 20 :","Ap +1","Ballistic Skill","Level 40 :","Degraded Defence","Contempt for the Weak","","Cloak","Sensory Motor Module / Tactical Backpack / Rogue Trader's Cloak / Tempestus Carapace Elite Backpack / Cape of Reckoning","","Level 5 :","Crowd Kill","Weapon Skill","Level 20 :","AP +1","Weapon Skill","Level 40 :","Degraded Defence","Dismantle","","Cloak","Malpain Shroud / Arch-Militant's Cape / Von Valancies Cloak / Tactical Backpack / Temperus Elite Carapace Backpack","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 6 :","Decisive Response","Ballistic Skill","Level 21 :","Ballistic Skill","Joint Offensive","Level 41 :","Fellowship","Prepare for an assault!","","Neck","Chartist Pendant / Medal of Alacrity / Onslaught Amulet / soldier aquila pendant / Officer's Aquila Pendant","","Level 6 :","Ballistic Skill","Rapid Fire","Level 21 :","All out","Ballistic Skill","Level 41 :","Ballistic Skill","Enough Bullets for everyone","","Neck","Focus Incense / Dog Tags / Soldier Aquila Pendant / Dashing Aquila / For the defence of Cadia / Flashlight Emitter","","Level 6 :","Forceful Strike","Athletics","Level 21 :","Broad Expertise","Weapon Skill","Level 41 :","Weapon Skill","Opening Strike","","Neck","Invigorating Resolve / The Vial of Falstow / Blessed Bolter Casing / Dog Tag","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 7 :","Move, Move, Move","Weapon Personalisation","Level 22 :","Inspire","","Level 42 :","Fervour","Fellowship","","Accessory 1","Commander's Chrono / Portative Manipulator / Tactica Imperialis Excerpt","","Level 7 :","Agility","One for the Enemies, Two for the traitors","Level 22 :","Wild Fire","Dual-Weapon Combat / Safety Training","Level 42 :","Kick","Perception","","Accessory 1","Portative Manipulator / Iron Cape / Cruciatum Litany / Harlequin Trinket / long-range aim lens / Echo of Victory","","Level 7 :","Weapon Skill","Duelling Mastery / Bolter Weapon Proficiency","Level 22 :","Wildfire","Dual-Weapon Combat","Level 42 :","Kick","Toughness","","Accessory 1","Knuckle Guard / Portative Manipulator / Bead of Might","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 8 :","Focus!","Coercion","Level 23 :","Unwavering Motivation","Coercion","Level 43 :","Brink of Death","Grenadier","","Accessory 2","Pair Holster / Black Ring of the Inquisition / Precint's Vox Relay","","Level 8 :","Unfaltering Fire","Coercion","Level 23 :","Coercion","Flashfire","Level 43 :","Ingenious","Ready to Serve / Let Them Know Fear!","","Accessory 2","Pair Holster / Litany of Exhausion / Demolition Instructions / bead of might / book of war prayers","","Level 8 :","Athletics","Impetus","Level 23 :","Athletics","All Out","Level 43 :","Martial Art","Let Them Know Fear!","","Accessory 2","Bayonet Chain Knife / Pair Holster / Iron Cape","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 9 :","Finest Hour IV","","Level 24 :","Fellowship","Dual-Weapon Combat","Level 44 :","Commerce / Lore Imperium","Eager Subordinates","","Gloves","Thrice-Pioneer's bracers / Grenadier's Gloves / Gloves of rapid desolation / deflection gloves","","Level 9 :","Firearm Mastery II","","Level 24 :","Agility","Let them Know Fear! / For the Emperor!","Level 44 :","Demolition","Deadly Aim *","","Gloves","Thrice-Pioneer's bracers / Gloves of rapid desolation / deflection gloves / compensator Gloves / Freedom and Vengeance","","Level 9 :","Daring Breach II","","Level 24 :","Toughness","Power Weapon Expert","Level 44 :","Coercion","Destroyer","","Gloves","Augmented Gloves / Inevietable Demise / Master Duellist's Gloves / Adaptive Gloves / Metal Claw Gloves / Gloves of Rapid Desolation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 10 :","Commerce / Lore Imperium","Fellowship","Level 25 :","Hidden Advantage","","Level 45 :","Ap +1","","","Boots","Commissar boots / Recoil Warboots","","Level 10 :","Fired Up","Agility","Level 25 :","Dismantle","","Level 45 :","AP +1","","","Boots","Recoil Warboots / Sharpshooter Boots / Caligae of Saint Keefe / Slow March of Death / Blitz Boots","","Level 10 :","Open Engagement","Strength","Level 25 :","Flashfire","","Level 45 :","AP +1","","","Boots","Void Veteran Boots / Enforcer Light Boots / Fencing Boots / Pneumo Boots","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 11 :","Steel Resolve","Fellowship","Level 26 :","Coercion","Fellowship","Level 46 :","Seize the Initiative","Commerce / Lore Imperium","","Weapon Set 1","Daredevil Pistol / Bloody Mentor / Anti-Vehicle Revolver","","Level 11 :","Concentrated Fire","Coercion","Level 26 :","Coercion","Perception","Level 46 :","Demolition Engineer","Demolition","","Weapon Set 1","Quick-Firing Laspistol / Daredevil Pistol","","Level 11 :","Reckless Strike","Weapon Personalisation","Level 26 :","Athletics","Toughness","Level 46 :","Contempt","Coercion","","Weapon Set 1","[Mars-Pattern] Bolt Pistol / Deadly Precision / [Mezoa-Pattern] Bolt Pistol / Anti-Vehicle Revolver / Daredevil Pistol / Bone-Shatterer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 12 :","Air of Authority","Characteristic Training: PER","Level 27 :","Orchestrated Firestorm III","","Level 47 :","Leader's Assault / be vigilant","Medicae","","","Quick firing Las Pistol / [Mars-Pattern] Hot Shot LasPistol / Bone-Shatterer","","Level 12 :","Perception","Motivation / Plasma Weapon Proficiency","Level 27 :","Steady Superiority IV","","Level 47 :","Point-Blank","Demolition","","","[Mars-Pattern] Hot Shot Laspistol / [Sol Pattern] Laspistol / Anti-Vehicle Revolver / Bone-Shatterer","","Level 12 :","Toughness","Coercion","Level 27 :","Steady Superiority IV","","Level 47 :","Living Shield","Medicae","","","Triumph of Faith / Watcher From Above / Auto-Striking Powersword / Tearing Vengence / [Sol] Elite Power Sword","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 13 :","Inspiring Speech","Commerce / Lore Imperium","Level 28 :","Against All Odds","","Level 48 :","Logistical Superiority","Ballistic Skill","","Weapon Set 2","Autoguns / Lasguns / Snipers / Low damage pistol options for at all costs","","Level 13 :","Swift Slaughter","For the Emperor! / External Power Block","Level 28 :","Awareness","Adaptability","Level 48 :","Distract","Perception","","Weapon Set 2","Bloody Mentor / Anti-Vehicle Revolver","","Level 13 :","Ramming Speed","Coercion","Level 28 :","Coercion","Armsmaster","Level 48 :","Exploit Weakness","Toughness","","Weapon Set 2","[Mars-Pattern] Thunder Hammer / They Shall Weep / Restless Absolution / Well-Maintained Rocksaw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
