"Cloaks Name","https://roguetrader.wh40k.wiki/Category:Cloak Description","Locations","Acts","","","","","","","","","","","","","","","","","","","","","",""
"Mantle of Heroism ","Requires Iconoclast - Follower; Each heroic act used in battle increases the wearer's dodge by +20% until the end of combat (max 60%)","","0","","","","","","","","","","","","","","","","","","","","","",""
"Rogue Trader's Cloak","The wearer of this cloak gains a +5 bonus to Fellowship for each enemy in a 2 cell radius.","","1","","","","","","","","","","","","","","","","","","","","","",""
"Blessed Cape","Increase melee dmg vs daemons by 2. +4 for Dogmatic Conviction","Rykad Minoris ","1","","","","","","","","","","","","","","","","","","","","","",""
"Camouflage Robe","Wearer's range attack decrease target dodge -5%. Does Not Stack","Fellowship of the Void","1","","","","","","","","","","","","","","","","","","","","","",""
"Commander Cloak","Increase Officer's ability range by 1","Rykad Minoris ","1","","","","","","","","","","","","","","","","","","","","","",""
"Emergency Injector","When the wearer must fall unconscious, recovers Toughness bonus wounds instead. The wearer loses all MP but gains +30% dodge for 1 round (can only be used once per combat)","Rykad Minoris","1","","","","","","","","","","","","","","","","","","","","","",""
"Hypnotising Pendant","Wearer's single-shot attack inflicts slow on target til wearer's next turn","Rykad Minoris ","1","","","","","","","","","","","","","","","","","","","","","",""
"Phantom Cloak","Grants +15% armour against warp damage","Rykad Minoris","1","","","","","","","","","","","","","","","","","","","","","",""
"Reaper Cape",".+12% dodge reduction for wearer's melee area attack","Fellowship of the Void","1","","","","","","","","","","","","","","","","","","","","","",""
"Saturated Cape","When wearer use Endure, weaerer removes 1 condition in order: Burning, Toxin, Bleeding","Rykadi Philia Prison","1","","","","","","","","","","","","","","","","","","","","","",""
"Fireproof Cape","Wearer immune to burning. End turn removes burn from adj. allies","Footfall Atrium ","","","","","","","","","","","","","","","","","","","","","","",""
"Arch-Strategist's Mantle","Combat tactic area bonus +5% for 1 round if used different strategem than before, doesn't stack","Kiava Gama","2","","","","","","","","","","","","","","","","","","","","","",""
"Backpack with Armour-Piercing Ammo","Wearer's ranged attack inflicts (armour pentration /5 bleed on) target","Plasma Chamber: (Abulation in Blood or Abberation Quest, servitors puzzle)","2","","","","","","","","","","","","","","","","","","","","","",""
"Battle Scarred Cape","When end turn, remove burning, bleeding, and toxin and then add TGHb / 2 Temp. wound per effect","Jae's Dargonus Quest reward","2","","","","","","","","","","","","","","","","","","","","","",""
"BladeDancer's Mantle","DfA deals +(3 x Wearer's Resolve) mental dmg","kasballica 12. pf 56","2","","","","","","","","","","","","","","","","","","","","","",""
"Cameleoline Cloak","Grants +10% dodge","Adermatt II system - Recoiligers's Plot Safe","2","","","","","","","","","","","","","","","","","","","","","",""
"Cape of Righteous Fury","Every Kill increase Crit Chance +5% until the end of combat","Footfall: Dreams and Stories quest","2","","","","","","","","","","","","","","","","","","","","","",""
"Cloak of Hatred","Each enemy killed by wearer's area attack increase wearer's dmg by 3% until end of combat","drusian 6. pf 23","2","","","","","","","","","","","","","","","","","","","","","",""
"cloak of retribution","Wearer gain 15% dmg bonus to enemy that deal dmg to wearer this round","drusian 1. pf26","2","","","","","","","","","","","","","","","","","","","","","",""
"Cloak of Shadows","When wearer deals dmg with AoO they gain shrouded effect (doesnt stack). Shrouded - when becoming target of an attack auto dodge, after that the effect is removed","Last Chance of Cyrene: Yrliet quest end","2","","","","","","","","","","","","","","","","","","","","","",""
"Distraction Cape","This cape lowers enemy Perception by the wearer's FEL Bonus within a 5 cell radius.","Pulvis Platinum system, Gutted Voidship","2","","","","","","","","","","","","","","","","","","","","","",""
"Embroidered Cloak","This cloak grants the wearer a +5 bonus on Persuasion. When wearer affected by allies'abilities, gain 3% dodge until end of combat. Stacks","Palatium Stellos system - Governors camp","2","","","","","","","","","","","","","","","","","","","","","",""
"Grenadier's Cloak","Wearer and allies are immune to wearer's nade dmg","Footfall Docks","2","","","","","","","","","","","","","","","","","","","","","",""
"Malpian Shroud","Whenever wearer deals dmg with melee attack, gain ( TGHb + 3x Icono Rank ) Temp wounds. Wielder melee attack deal ( Temp Wounds / 2 ) more dmg","Foulstone, 1st project event choices","2","","","","","","","","","","","","","","","","","","","","","",""
"Mercy's Gift","While in combat and no enemies within 4 cells wearer gains +15FEL","Jae's personal quest celebration","2","","","","","","","","","","","","","","","","","","","","","",""
"Militant's Cloak","Wearer's first melee attack cannot be parried or dodge","drusian rep1. pf 20","2","","","","","","","","","","","","","","","","","","","","","",""
"Navy Swashbuckler's Coat","Parry Reduc +10%. AR Pen +5% for melee","Pirate Rep 0. PF 18","2","","","","","","","","","","","","","","","","","","","","","",""
"Pack of Reagents","This set of chemical reagents increases Damage of all Burning, Poison or Bleeding effects applied by the wearer by +2.","Footfall: Mutant Hideout","2","","","","","","","","","","","","","","","","","","","","","",""
"Strange Shard","Lore Warp + 10 Lore Xenos + 15","Janus Event 3","2","","","","","","","","","","","","","","","","","","","","","",""
"Tactical Backpack","Grant +1 ROF","Pirate Rep10. Pf 36","2","","","","","","","","","","","","","","","","","","","","","",""
"Zealot Cloak","Whenever weaer hits ally with area attack. gain zealot effect until end of combat(10% dmg increase / stack)","Dargonus Palace Bedroom Secret","2","","","","","","","","","","","","","","","","","","","","","",""
"Bladedancer's Mantle","Death from Above deals (3 x Resolve) additional psychic damage","(Void Shadows DLC)
Kasballica Mission","2","","","","","","","","","","","","","","","","","","","","","",""
"Backpack With Armor-Piercing Ammo","Ranged attacks apply (Armor Penetration / 5) levels of Bleeding to targets","(Void Shadows DLC)
Plasma Engine Chamber, chest on the elevator","2","","","","","","","","","","","","","","","","","","","","","",""
"Singed Cape","Damage taken by the character is reduced by (veil thinning)%","(Lex Imperialis DLC)
Tenebris Aquae, Sargon's Cache
Tech check required on the Heartless' bridge","2","","","","","","","","","","","","","","","","","","","","","",""
"Synth-Feed","If a character ends their turn in an adjacent space to any familiar, the familiar recovers (2 x the familiar's CON bonus) health.","(Lex Imperialis DLC)
Tassera","2","","","","","","","","","","","","","","","","","","","","","",""
"Battle-Scarred Mantle","When end turn, remove burning, bleeding, and toxin from all adjacent allies. Then the wearer inflicts 10+2*numer of effects removed levels of bleeding on all adjacent enemies","","3","","","","","","","","","","","","","","","","","","","","","",""
"Assault Cloak","Wearer gains +5% parry reduction and dodge reduction for their melee area attacks for each creature targeted by that area attack","Farseer Rescue Area","3","","","","","","","","","","","","","","","","","","","","","",""
"Mon-Keigh Hide Cape","Decreases all incoming damage except direct by -1+versatility stacks%","Yremeryss loot","3","","","","","","","","","","","","","","","","","","","","","",""
"Sworddancer Cloak","Every time wearer dodges a melee attack, gain (5 + AGIb) until end of their next turn. Stacks","Commisar / Malice Trade, Looting Shrieker Arsenal post taking over Den","3","","","","","","","","","","","","","","","","","","","","","",""
"Xeno Emitter","When a character applies the Burning effect to an enemy, this effect gains an additional 6 levels.

This enemy is also affected by Psi-Suppression until the character's next turn.","Third Arena
From the body of Kikeross","3","Unavailable when completing the Heretic's quest","","","","","","","","","","","","","","","","","","","","",""
"Intigator's Mantle","Taunting Scream targets do need to fail WP resistance test to be affected","Gertafal's Calamity system - Heinrix's quest location","4","","","","","","","","","","","","","","","","","","","","","",""
"Swiftshroud Cloak","When wearer is targeted by AoO they gain +1 stack of swiftshroud and + 2 * (AGIb + PRb). They gain +(AGIb+PR)/2 MP every time they are targeted by AoO. At the end of their turn the wearer expends all their swiftshroud stacks and grants all allies +(stacks * 5)% bonus to dodge until wearer's next turn","Gertafal's Calamity system - Heinrix's quest location","4","","","","","","","","","","","","","","","","","","","","","",""
"Grenadier's Backpack","Wearer and allies are immune to damage from wearer;s grenades. First time the wearer uses a grenade during their turn theu have 50% chance to not expend it","Cassia's personal quest location","4","","","","","","","","","","","","","","","","","","","","","",""
"trapper's Furs","Astartes Equipment. Each time wearer deals damage to an enemy with a ranged attack from a range of 5+ cells the wearer becomes priority target for this enemy until the wearer's next turn","Emperor's Plan system - Eufrates II","4","","","","","","","","","","","","","","","","","","","","","",""
"voltagheist Field Emitter","The wearer suffers -(2*(5+INTb))% less impact and energy damage. When wearer suffers impact or energy damage, the attacking enemy suffers INTb+5 power damage","Pasqal personal quest location","4","","","","","","","","","","","","","","","","","","","","","",""
"Shroud of Dauntlessness","Adeptus Astartes Equipment. When wielder performs heroic act or deperate measure they gain +2 AP +6MP and 2*TGHb temp wounds","Mundus Nullius system - Ruined Palace","","","","","","","","","","","","","","","","","","","","","","",""
