"Pet Protocols Consumables Weapons Name Pistols (light, 1h) Name Autopistol Corrupted Inferno Pistol Las Pistol [Mezoa] Bolt Pistol Foehammer Precise LasPistol Ripper Autopistol Stub Revolver","https://roguetrader.wh40k.wiki/Category:Pet_Protocol https://roguetrader.wh40k.wiki/Category:Consumable https://roguetrader.wh40k.wiki/Category:Weapon DMG DMG 3-4 10-16 6-8 8-12 9-14 6-8 3-5 7-11","AR PEN AR PEN 5 50 5 15 10 10 10 15","RoF RoF 6 1 2 4 1 4 8 2","Recoil Recoil ","Range Range 5-10 4-8 5-10 6-12 3-6 5-10 5-10 6-12","Ammo Ammo 12 3 20 4 6 30 16 6","Type Type Solid Melta Las Bolt Solid Las Solid Solid","Description Description Heretical 15+ Only. No proficiency required. Standard Inferno pistol benefits including 1AP attacks vs Meltas standard 2 Shotgun pistol. Actually only use 1AP despite tooltip Dead Eye Shot ","Where Where Common Prologue Pick Heretic Choice  Common starting Prologue Mechanicus 1 Prison Prison  Eurac V Prison ","Acts Acts 0 0 0 1 1 1 1 1","","","","","","","","","","","","","","","","","","",""
"Bolt Pistol","8-12","10","3","20","6-12","6","Bolt","","Freight Line gang loot ","1","","","","","","","","","","","","","","","","","","",""
"Orthlak Mark IV","5-8","10","6","15","5-10","12","Solid","50% overpen","Forests of Janus","2","","","","","","","","","","","","","","","","","","",""
"Blast Pistol","15-25","60","1","","6-12","10","drukhari/Las","Darklight Blast only","Vheabos surface/Palatium Stellos system - Governors Camp","2","","","","","","","","","","","","","","","","","","",""
"Deadly Precision","14-16","10","3","20","7-14","6","Bolt","Single Shot always crit","Palatium Stellos system - Governors camp","2","","","","","","","","","","","","","","","","","","",""
"Bloodburner","13-20","30","1","","5-10","5","Exotic ","Every hit of this pistol increase current DoT by 5, does not stack","Crypt: Abulation in Blood","2","","","","","","","","","","","","","","","","","","",""
"Bolt Pistol","8-12","10","3","20","6-12","6","Bolt","","Janus Govt Fight","2","","","","","","","","","","","","","","","","","","",""
"Dead Shot Stub Revolver","8-16","15","1","15","6-12","6","Solid","Hit Chance + 50","Telemorph fight, warp encounter post shrine ambush","2","","","","","","","","","","","","","","","","","","",""
"Hot Shot Las Pistol","8-11","35","3","5","6-12","20","Las","","Agathus Archides, Wreck","2","","","","","","","","","","","","","","","","","","",""
"Inferno Pistol","10-17","50","1","0","4-8","3","Melta","","Pillars of Viridice - Inquisition Shipwreck","2","","","","","","","","","","","","","","","","","","",""
"Modified Splinter Pistol","8-12","20","4","","7-14","25","Drukhari","6 toxin dmg. Drukhari","Pirate  12. Pf 42","2","","","","","","","","","","","","","","","","","","",""
"Needle Pistol","13-20","30","1","","5-10","5","Exotic/Solid","6 Toxin dmg. Inflict fatigue ","Pirate  9. PF 34","2","","","","","","","","","","","","","","","","","","",""
"Promise of Freedom","5-8","50","4","5","6-12","12","Solid","Every hit inflict 1 stack of fatigue for 1 round if fail TGH test","Kelemorph fight, warp encounter post shrine ambush","2","","","","","","","","","","","","","","","","","","",""
"Promise of Retribution","8-12","30","3","5","6-12","12","Solid","Deals + BSb addition DIRECT DMG for each stacks of FATIGUE on target","Kelemorph fight, warp encounter post shrine ambush","2","","","","","","","","","","","","","","","","","","",""
"Splinter Pistol","6-9","25","6","10","7-14","12","Drukhari/Exotic","Toxin + 6","Langrenn's Belt, Plundered Station ","2","","","","","","","","","","","","","","","","","","",""
"Gift from Beyond the Grave","7-14","5","2","15","6-12","6","Solid","","Commorah ","3","","","","","","","","","","","","","","","","","","",""
"Desolation Blast Pistol","23-35","75","1","","6-12","10","Las","Darklight Blast only, every hit from this pistol inflicts +1 stack of melting, dodge reduction 30","Spyre, Perception Check","3","","","","","","","","","","","","","","","","","","",""
"Agonising Splinter Pistol","8-10","20","5","10","7-14","12","Drukhari/Exotic","Toxic shots. Deals double toxic damage. Each successful attack with htis weapon increases the damage of the toxin effect suffered by a target by +1","Yremeryss loot","3","","","","","","","","","","","","","","","","","","",""
"Needle pistol","13-20","30","1","","5-10","5","Exotic/Solid","6 Toxin dmg. Inflict fatigue ","Sire loot DLC quest","4","","","","","","","","","","","","","","","","","","",""
"[Mars-Pattern] Bolt Pistol","18-27","20","4","20","6-12","4","Bolt","","Sire loot DLC quest","4","","","","","","","","","","","","","","","","","","",""
"Modified Splinter Pistol","9-12","25","6","10","7-14","12","Drukhari/Exotic","Toxin +10, Deals toxic damage","Nolla Septum system - hive world","4","","","","","","","","","","","","","","","","","","",""
"Elite Blast Pistol","26-40","70","1","","6-12","10","Las/Drukhari","Darklight Blast only","Nolla Septum system - hive world, Quetza Temer","4","","","","","","","","","","","","","","","","","","",""
"Quick-Firing Laspistol","7-10","10","5","20","5-10","30","Las","Burst shots cost is decreased by -1 AP. First attack with this weapon in combat does not set attacks on cooldown","Hundred dreams crossroads, complete a contract to melt the planet after an enhanced scan","","","","","","","","","","","","","","","","","","","",""
"Upgraded Shuriken Pistol","11-15","15","7","5","6-12","18","Aeldari","","Quetza Temer - Tervantias Lab","4","","","","","","","","","","","","","","","","","","",""
"Daredevil Pistol","9-13","10","8","15","5-10","48","Solid","Burst costs 0AP, 50% overpen, 4AP base reload cost","Footfall Amasecus -  Chorda retinue loot","4","","","","","","","","","","","","","","","","","","",""
"Burden of Servitude","22-32","25","4","25","7-15","12","Bolt","Additional hit chance 10%. Burst attack with this weapon costs +1AP more. After firing a burst attack, single shot attack with this weapon gain +50% damage until the end of combat. Stacks","Footfall - Drussians max rank reward","4","","","","","","","","","","","","","","","","","","",""
"Inherent Blasphemy","24-36","25","4","15","5-10","12","Bolt/Heretical rank 5","this weapon deals warp damage","Emperor's Plan system - Eufrates II Uralon Loot","4","","","","","","","","","","","","","","","","","","",""
"[Mezoa] Astartes Bolt Pistol","20-30","20","4","30","10-20","24","Bolt","Req. Astartes. ","Kasballica 17. pf 74","4","","","","","","","","","","","","","","","","","","",""
