"Armour Name","https://roguetrader.wh40k.wiki/Category:Armour Category","Deflection","Absorption","Type","Description","Locations","Acts ","Notes","","","","","","","","","","","","","","","","","",""
"[Death World Origin] Enforcer Light Carapace","Light","2","20","","Base Armour Property: +1 Deflection against human enemies World Property: +5 Agility","Rykad Minoris","1","","","","","","","","","","","","","","","","","","",""
"[Fortress] Mesh Vest","Medium","0","30","","Req. Heretic +5% armour against range attack +5 TGH","Rykad Minoris","1","","","","","","","","","","","","","","","","","","",""
"[Warworld] Fencing Bodyglove","Light","0","25","","10% Parry, 10% dodge vs melee attacks","Pirate Rep 1","1","","","","","","","","","","","","","","","","","","",""
"Ceramite Storm Trooper Carapace","Heavy","1","45","","Deflect +1 against humans","Tech Trader Rep 4","1","","","","","","","","","","","","","","","","","","",""
"Heavy Leathers Armour","Heavy","1","40","","-50% Dodge","Pirate","1","","","","","","","","","","","","","","","","","","",""
"Mesh Vest","Medium","0","30","","Req. Heretic +5% armour against range attack","Rykad Minoris","1","","","","","","","","","","","","","","","","","","",""
"Scrap Chainmail","Medium","1","30","","Base Armour Property: -15% Absorption against energy damage","Freight Line","1","","","","","","","","","","","","","","","","","","",""
"Spinner's Ritual Vestment","Light","0","30","","10% if not in cover. + STR bonus wounds","Bloodspun Quest","1","","","","","","","","","","","","","","","","","","",""
"Casing Chestplate","Heavy","2","40","","-50% Dodge","Various Heretics","","","","","","","","","","","","","","","","","","","",""
"Light Spinner's Breastplate","Light","0","","","The wearer of this armor is completely devoted to the Undying One—as evidenced by the dark oaths on the seals of purity and the dried bloodstains of countless enemies.
world property: +(AGI bonus)% to dodge and parry in melee combat
Additional property: +5 to Agility","Kibellah starting gear","1","","","","","","","","","","","","","","","","","","",""
"Spinner's Ritual Vestments","Light","0","","","The grim garb of a Bloodweb initiate fills enemies with terror and the followers of the Undying One with awe. For the bone armor, covered in thin leather, reveals the wearer as a survivor of death itself.
world property: +10% evasion when not protected by cover
Additional property: +(STR bonus) to health","(Void Shadows DLC) Temple, Gift of Visir","1","","","","","","","","","","","","","","","","","","",""
"[Death] Armoured Bodyglove","Light","","40","","Dodge + 10% vs Range. + 2 MP","pirate rep14. pf45","2","","","","","","","","","","","","","","","","","","",""
"[Death] Enforcer Light Carapace","light","","38","","Dodge + 10% vs humans. +10 AGI","drusian 5. pf41","2","","","","","","","","","","","","","","","","","","",""
"[Fortress] Tempest Carapace","Heavy ","4","65","","Defl + 2 vs ranged. +10 TGH ","Mech Rep21. PF 70","2","","","","","","","","","","","","","","","","","","",""
"[War] Enforcer Carapace","medium","","50","","Dodge + 10%. +10% armour vs humans","drusian 9. pf41","2","","","","","","","","","","","","","","","","","","",""
"Adaptive Flak Vest","Medium","2","30","","Grants + Armor if INT > 55. First 3 rounds of combat gain +15% and 3 Deflect. Bonus depreciate -1 Deflect and -5% armor at end of each round ","Kiava Gama ","2","","","","","","","","","","","","","","","","","","",""
"Armour of Refraction","Heavy","3","55","","Deflection + 2 vs Humans. +1 Deflection and +10% if character moved during their turn","Kiava Gama event 3","2","","","","","","","","","","","","","","","","","","",""
"Armour of the Undaunted","Medium","0","45","","All attack ability cost +1AP but gain 20% crit chance. Armour + Lore Imperium / 10 ","Palatium Stellos system - Governors camp","2","","","","","","","","","","","","","","","","","","",""
"Armoured Bodyglove","Light","0","40","","Dodge +10%. +2 MP","Pirate 14. Rep 45","2","","","","","","","","","","","","","","","","","","",""
"Breacher's Armour","Medium","","45","","PER + 10, + Lore Imperium / 10 Armour","Ship Crypt: Abulation in Blood","2","","","","","","","","","","","","","","","","","","",""
"Condensed Carapace","Light","","42","","Melee Crit chance +10%. +10% dodge vs humans","drusian 15. pf53","2","","","","","","","","","","","","","","","","","","",""
"Efficient Armoured Bodyglove","Light","","35","","","Footfall Funeral","2","","","","","","","","","","","","","","","","","","",""
