"Scroll Right for more variant builds","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Lex videos will be posted to https://youtube.com/@revan619?si=Wc7XVjvFc0LjebGD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Live Stream Playlist: https://youtube.com/playlist?list=PLrqfcSvSc1aXg0fklgBBfe3oPevNWfDbJ&si=jpco7lfWQO3S05CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ability","Abelard the Navy Breacher - https://youtu.be/1L7Wy0jiW9c ","","","","","","","","","","Skill Options","","","Abelard the Defender","","","","","","","","","","Skill Options","","","Abelard Offhand Foehammer","","","","","","","","","","Skill Options","","","Abelard the Assassin","","","","","","","","","","Skill Options","","","Abelard the Executioner","","","","","","","","","","Skill Options","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Skill","Honestly there is no reason to use vangaurd with fleet combat training and shields. Act 2 combining epiphany and pneumo boots is very potent","","","","","","","","","","Athletics / Carouse","","","For those that don’t like to move and attack. The wobbuffet build. Act 2 combining epiphany and pneumo boots is very potent","","","","","","","","","","Athletics / Carouse","","","Slightly gimmicky setup but usable with a foehammer into stuff like boneshatterer late game which when you get to arch-militant cape you will swap to quick-shot las pistol ect","","","","","","","","","","Athletics / Carouse","","","Shearing strikes stack with fleet combat training and stalking boots is pretty obscene. Double Killing edge on critical is also very nice. Knives possible early levels","","","","","","","","","","Athletics / Carouse","","","","","","","","","","","","","Medicae / Athletics / Carouse","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Talent","Warrior","","","Arch-Militant","","","Exemplar","","","","","","","Warrior","","","Vanguard","","","Exemplar","","","","","","","Warrior","","","Arch-Militant","","","Exemplar","","","","","","","Warrior","","","Assassin","","","Exemplar","","","","","","","Warrior","","","Executioner","","","Exemplar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Common Talent","Level 1 :","Charge","","Level 16 :","Versitility","","Level 36 :","Eagar for battle *","Easy Target","","","","","Level 1 :","Charge","","Level 16 :","Unyelding Beacon","","Level 36 :","Eager for Battle *","Crowd Kill","","","","","Level 1 :","Charge","","Level 16 :","Versitility","","Level 36 :","Eagar for battle *","Easy Target","","","","","Level 1 :","Charge","","Level 16 :","Seek the Opening","","Level 36 :","Degraded Defence*","Easy Target","","","","","Level 1 :","Charge","","Level 16 :","Forced Repentance","Scourging Strike + 
  Where it hurts","Level 36 :","Eagar for battle *","Easy Target","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Heroic Action","Level 2 :","Medicae","","Level 17 :","Reckless Rush","","Level 37 :","Athletics","Contempt for the weak","","Gear to consider","","","Level 2 :","Medicae","","Level 17 :","Defensive Stance","Dual-Weapon Combat","Level 37 :","Athletics","Offensive Follow","","Gear to consider","","","Level 2 :","Medicae","","Level 17 :","Wildfire","","Level 37 :","Athletics","Armsmaster","","Gear to consider","","","Level 2 :","Medicae","","Level 17 :","Danse Macarbe","","Level 37 :","Athletics","Lethal Concentration","","Gear to consider","","","Level 2 :","Medicae","","Level 17 :","Pain Resonance","","Level 37 :","Medicae","All-Encompassing Agony","","Gear to consider","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Stats","Level 3 :","Endure","","Level 18 :","Always Ready","","Level 38 :","Weapon Skill","It Will Not Die","","Helm","The Guardian Crown / Tactical Genius / Retinal analyser","","Level 3 :","Endure","","Level 18 :","Counter Attack Stance","","Level 38 :","Weapon Skill","Stentorian Voice","","Helm","The Guardian Crown / Tactical Genius / Retinal analyser","","Level 3 :","Endure","","Level 18 :","Always Ready","","Level 38 :","Weapon Skill","Power Weapon Expert","","Helm","The Guardian Crown / Tactical Genius / Retinal analyser","","Level 3 :","Endure","","Level 18 :","Morbid Pirouette","","Level 38 :","Weapon Skill","Stentorian Voice","","Helm","Vivisector's Visor / The Guardian Crown / Tactical Genius","","Level 3 :","Endure","","Level 18 :","Anatomy Expert","","Level 38 :","Weapon Skill","Stentorian Voice","","Helm","Carmine Crown / Mechanicus Respirator / The Guardian Crown / Tactical Genius","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ideal Talents To Swap with this border","Level 4 :","Daring Breach","Thick Skin","Level 19 :","Steady Superiority","","Level 39 :","Forceful Strike","Athletics","","Armour","Invincible Onsalught Armour / Sanguine Judgement / Adherent of Mainkind","","Level 4 :","Daring Breach","Thick Skin","Level 19 :","Unyelding Guard","","Level 39 :","Break Through","Athletics","","Armour","[Fortress World Origin] / [War World Origin] Tempestus Elite Carapace / Invincible Onsalught Armour / Sanguine Judgement / Adherent of Mainkind","","Level 4 :","Daring Breach","Thick skin","Level 19 :","Steady Superiority","","Level 39 :","Forceful Strike","Athletics","","Armour","Invincible Onsalught Armour / Sanguine Judgement / Adherent of Mainkind","","Level 4 :","Daring Breach","Thick skin","Level 19 :","Dispatch","","Level 39 :","Sworn Enemy","Athletics","","Armour","Invincible Onsalught Armour / Sanguine Judgement / Adherent of Mainkind","","Level 4 :","Daring Breach","Thick skin","Level 19 :","Carnival of Misery","","Level 39 :","Sworn Enemy","Medicae","","Armour","Invincible Onsalught Armour / Sanguine Judgement / Adherent of Mainkind","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 5 :","Hardened Scars / Crowd Kill / Easy Target","Weapon Skill","Level 20 :","AP +1","Weapon Skill","Level 40 :","Degraded Defence","Focal Point","","Cloak","Malpain Shroud / Swashbuckler cloak","","Level 5 :","Hardened Scars","Weapon Skill","Level 20 :","AP +1","Weapon Skill","Level 40 :","Degraded Defence","Punish The Imprudent","","Cloak","Malpain Shroud / Swashbuckler cloak","","Level 5 :","Hardened Scars / Crowd Kill","Weapon Skill","Level 20 :","AP +1","Weapon Skill","Level 40 :","Degraded Defence","Contempt for the weak","","Cloak","Arch-Militant Cape / Malpain Shroud / Swashbuckler cloak","","Level 5 :","Rigorous Training","Weapon Skill","Level 20 :","AP +1","Weapon Skill","Level 40 :","Destroyer*","Imminent Demise*","","Cloak","Malpain Shroud / Swiftshroud cloak / Swashbuckler cloak","","Level 5 :","Hardened Scars","Weapon Skill","Level 20 :","AP +1","Weapon Skill","Level 40 :","Degraded Defence","Racking Weakness","","Cloak","Malpain Shroud / Swashbuckler cloak","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"* stars like this in exemplar, you can swap those talents around","Level 6 :","Taunting Scream / Break Through","Athletics","Level 21 :","Dependable","Weapon Skill","Level 41 :","Weapon Skill","Crowd Kill","","Neck","Invigorating Resolve / Solid Shield Enarmes","","Level 6 :","Taunting Scream","Athletics","Level 21 :","Weapon Skill","Enduring Shield","Level 41 :","Weapon Skill","Shearing Strikes","","Neck","Invigorating Resolve / Solid Shield Enarmes","","Level 6 :","Taunting Scream","Athletics","Level 21 :","Broad Expertise","Weapon Skill","Level 41 :","Weapon Skill","Open Engagement","","Neck","Invigorating Resolve / Solid Shield Enarmes","","Level 6 :","Break Through","Athletics","Level 21 :","Create an Opening*","Weapon Skill","Level 41 :","Weapon Skill","Crowd Kill","","Neck","Invigorating Resolve / Slicing Symbol","","Level 6 :","Break Through","Medicae","Level 21 :","Weapon Skill","Does it Hurt?","Level 41 :","Weapon Skill","Impetus","","Neck","Invigorating Resolve","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 7 :","Weapon Skill","Fleet Combat Training","Level 22 :","Wildfire","Melee Weapon Specialist / Instant Retribution","Level 42 :","Devastating Attack","Toughness","","Accessory 1","Empyrean Transceiver / Sturdy Shield Straps / Anatomy Tome","","Level 7 :","Weapon Skill","Fleet Combat Training","Level 22 :","Follow my lead","Athletics","Level 42 :","Wall of Rockcrete","Toughness","","Accessory 1","Peculiar Trinket / Sturdy Shield Straps","","Level 7 :","Weapon Skill","Fleet Combat Training","Level 22 :","Reckless Rush","Dual Weapon Specialist","Level 42 :","Devastating Attack","Toughness","","Accessory 1","Empyrean Transceiver / Portative Manipulator","","Level 7 :","Weapon Skill","Fleet Combat Training","Level 22 :","Athletics","Killing Edge","Level 42 :","Poised to Strike","Toughness / Agility","","Accessory 1","Notes on Weaknesses","","Level 7 :","Weapon Skill","Fleet Combat Training","Level 22 :","Exsanguination","","Level 42 :","Gift of Torment","Agility","","Accessory 1","Hellbrute Horn Trophy / Harlequin Trinket / Diagnostor / Litany of Exhaustion / Hadd-Pattern-Data-Loom","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 8 :","Athletics","Ramming Speed","Level 23 :","Athletics","Allout","Level 43 :","Breaking Attack","Power Weapon Specialist","","Accessory 2","Peculiar Trinket / Hellbrute Horn Trophy / Bead of Might","","Level 8 :","Athletics","Rigorous Training","Level 23 :","Beacon of Might","Dual Weapon Specialist / Instant Retribution","Level 43 :","Wall Of Ferrocrete","Power Weapon Expert","","Accessory 2","Empyrean Transceiver / Hellbrute Horn Trophy","","Level 8 :","Athletics","Crowd Kill / Opening Strike","Level 23 :","Athletics","Allout","Level 43 :","Breaking Attack","Know No Heresy","","Accessory 2","Peculiar Trinket / Hellbrute Horn Trophy / Bead of Might","","Level 8 :","Athletics","Shearing Strikes","Level 23 :","Deadly Calculation","","Level 43 :","Flawless Lunge","Know No Heresy","","Accessory 2","Bead of Might / Hellbrute Horn Trophy / Iron Cape","","Level 8 :","Athletics","Rigorous Training","Level 23 :","Sower of Distress","Lore Xenos","Level 43 :","Internal Bleeding","Grenadier","","Accessory 2","Bead of Might / Cruciatum Litany / Voidborn's Pride / Knuckle Guard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 9 :","Daring Breach II","","Level 24 :","Toughness","Dual-Weapon Specialist / Shield Mastery","Level 44 :","Carouse","Destroyer *","","Gloves","Adaptive Gloves / Relish Anguish / Metal Claw Gloves","","Level 9 :","Daring Breach II","","Level 24 :","Toughness","It Will Not Die! / Shield Mastery","Level 44 :","Carouse","Destroyer *","","Gloves","Adaptive Gloves / Relish Anguish / Metal Claw Gloves / Augmented Gloves","","Level 9 :","Daring Breach II","","Level 24 :","Toughness","Get off Me!","Level 44 :","Carouse","Destroyer *","","Gloves","Augmented Gloves / Adaptive Gloves / Relish Anguish / Metal Claw Gloves","","Level 9 :","Daring Breach II","","Level 24 :","Toughness / Agility","Dual-Weapon Combat","Level 44 :","Awareness","Peak Condition","","Gloves","Adaptive Gloves / Metal Claw Gloves / Riposte Gauntlets","","Level 9 :","Daring Breach II","","Level 24 :","Agility","Drukhari Weapon Proficiency","Level 44 :","Athletics","Destroyer *","","Gloves","Augmented Gloves / Hand of Avolius / Metal Claw Gloves / Inevietable Demise","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 10 :","Impetus","Toughness","Level 25 :","Flashfire","","Level 45 :","AP +1","","","Boots","Pneumo Boots / Void Veteran Boots / Enforcer's Light boots","","Level 10 :","Impetus","Toughness","Level 25 :","Renitent beacon","","Level 45 :","AP +1","","","Boots","Bruiser Boots / Void Veteran Boots / Enforcer's Light boots / Pneumo Boots","","Level 10 :","Impetus","Toughness","Level 25 :","Flashfire","","Level 45 :","AP +1","","","Boots","Pneumo Boots / Void Veteran Boots / Enforcer's Light boots","","Level 10 :","Desolation","Toughness / Agility","Level 25 :","Lethality Heightens","","Level 45 :","AP +1","","","Boots","stalking boots / Void Veteran Boots / Enforcer's Light boots","","Level 10 :","Shearing Strikes","Agility","Level 25 :","Master of Torture","","Level 45 :","AP +1","","","Boots","Inertia Boots / Pneumo Boots / Void Veteran Boots / Enforcer's Light boots","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
