"","Companion","Reward"
"","Abelard","Efficiency +1 / 1 xenotech / 2 provisions / 2 people / 1 weapons / 1 plasteel"
"","Idira","2 Complacency / -1 Security"
"","Argenta","1 Complacency"
"","Cassia","10 navigator's insight per colony, up to 60"
"","Pasqal","Effeciency +2 / +2 Efficiency / 1 chemicals / 1 promethium / 1 xenotech / 2 provisions / 2 people / 3 weapons / 1 mechanisms / 1 plasteel"
"","Heinrix","2 Security"
"","Jae","3000 Kasballica reputation per colony, up to 18000"
"","Yrliet","6 xenotech per colony, up to 30"
"","Kibellah","""-1 Complacency and +2 Security"""
"","Solomorne","2 Complacency and +1 Security"
"","Eogunn","Flogiston, Adamantine, Plasteel, Weapons x4, Provisions, Mechanisms x2"
"","Quests: https://roguetrader.wh40k.wiki/Category:Quest",""
