"Boots Name","https://roguetrader.wh40k.wiki/Category:Boots Description","Locations","Acts","","","","","","","","","","","","","","","","","","","","","",""
"Pneumo Boots","Use Charge cost -1 AP","Fellowship of the Void ","1","","","","","","","","","","","","","","","","","","","","","",""
"Skirmisher Boots","When dealing dmg the wearer has 25% chance to gain 2MP","Rykad Minoris","1","","","","","","","","","","","","","","","","","","","","","",""
"Warmonger Boots","When the wearer kills 2 or more enemies with a single attack, the attack doesn't spend all of the wearer's MP","Rykad Minoris","1","","","","","","","","","","","","","","","","","","","","","",""
"Adrenaline Warboots","At start of wearer's turn, gain +20% dodge until end of the round","Footfall Shadow Quarters - Dark Hideout","2","","","","","","","","","","","","","","","","","","","","","",""
"Arch-Militant's Boot","When wearer perform melee after range attack, target must pass TGH bonus at -15 penalty or knock prone","Pirate mer rep13. pf 44","2","","","","","","","","","","","","","","","","","","","","","",""
"Battle-Psyker Boots","Wearer gain PERb% dodge until start of next turn for each enemy affected by psy-power or staff attacks. Stacks","Idira Quest 1 Random encounter","2","","","","","","","","","","","","","","","","","","","","","",""
"Bladed Boots","Whenever wearer hit opening with Charge, Slash, or Danse Macabre, inflict 10 bleeding on target","kasballica 1. pf20","2","","","","","","","","","","","","","","","","","","","","","",""
"Breacher's Boot","Whenever wearer's area attack damages at least 2 enemies in 2 cell radius, weaer can use kick ability for 0AP to use until end of turn","pirate mer rep16. pf49","2","","","","","","","","","","","","","","","","","","","","","",""
"Breezecatcher Boots","Whenever wearer moves through cell occupied by enemy, gain 15% dodge vs that enemy until next turn","Dargonus Palace","2","","","","","","","","","","","","","","","","","","","","","",""
"Caligae of Saint Keefe","Whenever wearer use heroic/desperate action, recover all HP and gain 2AP","Dargonus Proj.3: Adeptus Arbites","2","","","","","","","","","","","","","","","","","","","","","",""
"Commisar Boots","Whenever weaer choose ally as target of ability, immediate gain wearer's FEL bonus/2 MP. Target gain this for their next turn","kasballica 0. pf50","2","","","","","","","","","","","","","","","","","","","","","",""
"Cursed Boots","Wherever wearer end turn, deal +1 / creature warp dmg to all adj. creatures. Also deal +1 warp dmg to enemies","Kiava Proj.1 Restoration","2","","","","","","","","","","","","","","","","","","","","","",""
"Dynamo Boots","Increase Movement Points of the wearer by 3","Footfall Shadow Quarters Warehouse - Jae's Quest","2","","","","","","","","","","","","","","","","","","","","","",""
"Ergo Boots","Increase AGI +5, Athletics +10","Janus Forest","2","","","","","","","","","","","","","","","","","","","","","",""
"Expeditionary Footwear","When use Navigator power, gain +15% dodge until end of the round. Stacks","Pulvis Platinum system, Gutted Voidship","2","","","","","","","","","","","","","","","","","","","","","",""
"Psyker's Footwear","Grant 3% dodge until end of combat for each psy power wearer used. Stacks","Footfall Docks Box. Password 3541","2","","","","","","","","","","","","","","","","","","","","","",""
"Pyromaniac Boots","Can not be affected by burning when standing on burning cell. Inflicts +3 stacks of burning when standing on burning cell","Footfall Shadow Quarters Quarantine Area","2","","","","","","","","","","","","","","","","","","","","","",""
"Sororitas Boots","Momentum raise to 175 after 5 kills in one turn","Footfall. Shadow Quarters Argenta Quest Cultists Lair","2","","","","","","","","","","","","","","","","","","","","","",""
"Swift Shadows","Once per turn, after using Blood Oath or Oath of Vengeance, they gain 1 use of Dash for 0AP until end of turn","pirate mer rep17. pf51","2","","","","","","","","","","","","","","","","","","","","","",""
"Tactical Boots","Whenever enemy attempt AoO against wearer, immediately push back by 1 cell before attack hit wearer","kasballica 7. pf35","2","","","","","","","","","","","","","","","","","","","","","",""
"Unyielding Vanguard Boots","All allies 2 cell away from VG gets 40% resolve bonus from Unyielding Guard vs regular 20%","Footfall Atrium Coagitator Check","2","","","","","","","","","","","","","","","","","","","","","",""
"Reinforced Boots","Grant +5 TGH. Collision Based dmg + TGHb/2","Lapidus Mortus: Curio ->Loot the Corpse","","","","","","","","","","","","","","","","","","","","","","",""
"Tactical Boots","When an opponent attempts to make an attack of opportunity against a character, the character pushes that opponent back 1 square before they can strike.","(Void Shadows DLC)
Kasballica Mission","2","","","","","","","","","","","","","","","","","","","","","",""
"Swift Shadows","Once per turn, after using Blood Vow or Oath of Vengeance, the character gains 1 use of Run, which does not cost any AP, until the end of the turn.","(Void Shadows DLC)
Fellowship of the void","2","","","","","","","","","","","","","","","","","","","","","",""
"Bladedancer's Greaves","Moving through cells covered in blood from Blood Rain or Blood Vial requires half the character's MP.","(Void Shadows DLC) Foulstone, Kibellah decision","2","","","","","","","","","","","","","","","","","","","","","",""
"Inertia Boots","If a character's melee attack is parried, dodged, or critically hit, the character regains +(DEX bonus) MP and does not provoke attacks of opportunity for the rest of their turn.","(Lex Imperialis DLC)
Explorators ","2","","","","","","","","","","","","","","","","","","","","","",""
"Impulse Boots","After performing an area-of-effect melee attack, the character restores 2 MP and gains +(DEX bonus + PER bonus)% to critical hit chance. This effect stacks and lasts until the end of the round.","(Lex Imperialis DLC)
Fellowship of the void","2","","","","","","","","","","","","","","","","","","","","","",""
"Bruiser Boot","Whenever wearer use AoE attack / ability, provoke Attack of Opportunity from all adj. enemy. Gain TGHb temp wound for each attack.","Comorragh ","3","","","","","","","","","","","","","","","","","","","","","",""
"Wear Resist Boots","Grants + 5 AGI and ( 4 (AGIb + Dogmatic Rank)) Dodge","Commoragh: Bike by Killed runaway 3 patrol","3","","","","","","","","","","","","","","","","","","","","","",""
