"Gloves Name","https://roguetrader.wh40k.wiki/Category:Gloves Description","Locations","Acts","Notes","","","","","","","","","","","","","","","","","","","","",""
"Operator's gloves","Grants +3 Tech-Use","","0","","","","","","","","","","","","","","","","","","","","","",""
"Gloves of Endurance","Whenever the wearer of these gloves gets an injury or falls unconcious in combat, their allies gain a +1 bonus to damage.","","0","","","","","","","","","","","","","","","","","","","","","",""
"Thrice-Pioneer;s Bracers","Every time the wearrer deals damage, the target's WS and BS is reduced by -5 for 2 rounds.Stacks up to 6 times","Eurac V","1","","","","","","","","","","","","","","","","","","","","","",""
"Stalker Glove","If weaerer's ranged attack hits, gain 5% critical hit chance next ranged attack against same enemy. DOES NOT STACK","Fellowship of the Void Rep 1","1","","","","","","","","","","","","","","","","","","","","","",""
"Stabilising Bracer","Run n Gun gives AGI Bonus / 3 more dmg on their ranged attacks","Tech Trader Rep 1","1","","","","","","","","","","","","","","","","","","","","","",""
"Sniper Gloves","Wearer Deals +5% dmg. Gain 5% on single shots and deadeye shots","Rykad Minoris","1","","","","","","","","","","","","","","","","","","","","","",""
"Relished Anguish","End of wearer's turn, gain temp wounds = collision dmg dealt ","Freight Line","1","","","","","","","","","","","","","","","","","","","","","",""
"Noble Silk Gloves","Grants +5 Persuasion","Eurac V","1","","","","","","","","","","","","","","","","","","","","","",""
"Crimson Oblivion","If worn by a Death Cult assassin. Enemy killed by wearer explodes in pool of blood. Nearby tiles change to blood as if affected by Blood Phial","Freight Line","1","","","","","","","","","","","","","","","","","","","","","",""
"Avenger's Gauntlet","Add +AGI Bonus base dmg to AoO","Rykad Minoris Mechanicus Temple kill prophet","1","","","","","","","","","","","","","","","","","","","","","",""
"Intoxication with suffering","At the end of their turn, the character gains temporary health equal to the amount of collision damage they dealt that turn.","(Void Shadows DLC)
Freight Line, from Outcast Leader","1","","","","","","","","","","","","","","","","","","","","","",""
"Crimson Oblivion","If the character is a Death Cult Assassin, when they kill an enemy, a stream of blood erupts from them, drenching nearby cells, similar to using a blood vial.","(Void Shadows DLC)
freight line, chest behind tripwires near Eden","1","","","","","","","","","","","","","","","","","","","","","",""
"Composite gloves","If a character is holding a shield when they are hit (multiple hits in a row count as one), the shield gains a +5% block bonus. This stacks up to 3 times and lasts until the end of the round.","Rogue Trader's Quarters
Limited-run reward for watching streams celebrating the release of the Lex Imperialis expansion","1","","","","","","","","","","","","","","","","","","","","","",""
"Warp Conductor Boots","After trigger Psy phenom/perils. Wearer gain + 1 PR. Wearer gain momentum & temp wound = resolve. Can only be equipped by unsanctioned psyker","Idira quest 1 random void encounter","2","","","","","","","","","","","","","","","","","","","","","",""
"Torment Bracelets","If the owner of Torment Bracelets deals damage, their enemies suffer 1-3 Rending Damage (with Penetration of 10) for each cell they move during the owner's [round]. Heretical Adherent - Glove deals 1 to 6 warp dmg instead","kasballica 3. pf 50","2","","","","","","","","","","","","","","","","","","","","","",""
"Stabiliser Bracers","Increase BS by 10 and crit dmg by 25%","Kiava Gama","2","","","","","","","","","","","","","","","","","","","","","",""
"Redemption Gauntlets","Attacks vs target suffering exposed weakness decrease their STR & AGI by -10","Kiava Gama","2","","","","","","","","","","","","","","","","","","","","","",""
"Recoil Gloves","Reduce recoil 50% of all automatic weapons","Janus Forest","2","","","","","","","","","","","","","","","","","","","","","",""
"Radiant Glove","Grants wearer +5 parry reduction. If Iconoclast, all allies gain +(10 + 2x Iconoclast) hit chance to enemies adj. to wearer. Wearer auto dodge melee friendly fire","drusian 10. pf26","2","","","","","","","","","","","","","","","","","","","","","",""
"Power Grips","These augmented gloves increase Strength of the wearer by 10.","Janus Governer Fight","2","","","","","","","","","","","","","","","","","","","","","",""
"Plasmashaper Gloves","Tech Use +10. Plasma weapon do base dmg +3 ","Dargonus Palace Bedroom secret","2","","","","","","","","","","","","","","","","","","","","","",""
"Master Duellist's gloves ","When wearer scores a crit with ranged, their next attack against any target auto hits and cannot be parried/dodged","Ship Crypt: Abulation in Blood","2","","","","","","","","","","","","","","","","","","","","","",""
"Karskin's Gauntlets","Gauntlet grant wearer +10% crit chance. Doubles if wearer hasn't move","kasballica 6. pf 46","2","","","","","","","","","","","","","","","","","","","","","",""
"Hand of Avolious","Successful attack grants wearer 50% chance to inflict Bleed on target that fail TGH test. If Dogmatic 45, test is made with -20 penalty","Foulstone: Support Argenta advice, make Lugnalia prelate. Then contract -5 Pop resource","2","","","","","","","","","","","","","","","","","","","","","",""
"Grenadier's Gloves","Using grenades costs -AP for the wearer. They also increase Damage from grenades by +2.","Shadow Quarters","2","","","","","","","","","","","","","","","","","","","","","",""
"Executioner's Gauntlets","Increase Crit dmg of Where it Hurts (Attack and DoT procs) by Medicae/5","drusian 13. pf43","2","","","","","","","","","","","","","","","","","","","","","",""
"Deflection Gloves","These gloves allow the wielder to Parry melee attacks with their ranged weapon using BS instead of WS.","Mechanicus Trader Rep 0","2","","","","","","","","","","","","","","","","","","","","","",""
"Bladedancer's Bracers","Each hit of Blade Dance increase wearer's critical hit by (2 x WS bonus) until end of turn","kasballica 13. pf58","2","","","","","","","","","","","","","","","","","","","","","",""
"Augmented Gloves","Grants +10 WS and +5 STR","Aviorus System - Drifting Voidship ","2","","","","","","","","","","","","","","","","","","","","","",""
"Arsonist's Bracers","These bracers grant the wearer a +5 bonus to Tech-Use Tests. They also increase Damage from Flame Weapon by +3.","Dargonus: Return to Dargonus for Drukhari","2","","","","","","","","","","","","","","","","","","","","","",""
"Apex Predator Glove","Improve and adds to hunt down the prey BH bonuses","Pirate Rep8. PF 32","2","","","","","","","","","","","","","","","","","","","","","",""
"Adaptive Gloves","These gloves adapt to any hand and dampen vibrations, allowing for better grip and helping deflect strikes. Increase Weapon Skill and Parry by 10.","Footfall, liege, demand compensation ","2","","","","","","","","","","","","","","","","","","","","","",""
"Executioner's Bracers","Increases the critical damage of the Sick ability (including damage from the attack itself and from additional activations of periodic damage effects) by (Medicae / 5)","(Void Shadows DLC)
Drusians - Level 13","2","","","","","","","","","","","","","","","","","","","","","",""
"Bladedancer's Bracers","Each hit of Blade Dance increases Critical Hit Chance by (2 x WS Bonus)% until the end of his turn.","(Void Shadows DLC)
Kasballica Mission - Level 13","2","","","","","","","","","","","","","","","","","","","","","",""
"Master Duelist's Gloves","When a character scores a critical hit with a ranged attack, their next attack against any enemy automatically hits (the enemy does not dodge or parry).","(Void Shadows DLC)
crypt, coffin to the left of the entrance","2","","","","","","","","","","","","","","","","","","","","","",""
"Gloves of unbearable torment","The character gets +15 to Pressure","(Lex Imperialis DLC)
Boarding the ""Heartless.""
In a Drukhari crate near the drawbridge, on the sniper's side.","2","","","","","","","","","","","","","","","","","","","","","",""
"Xenohide Gloves ","Drukhari Equipment. Grants wearer +10% parry and +10% area attack damage","Spyre peak, next to Tervantias","3","","","","","","","","","","","","","","","","","","","","","",""
"Undying Rage","Each melee attack performed by the wearer increases their armour by +AGI bonus% until the start of their next turn","","3","","","","","","","","","","","","","","","","","","","","","",""
"Stabilising Gauntlets","Run and Gun gives AGI bonus/3 more damage on ranged attacks and do not suffer winded","Chasm - After meeting Malice BS check to shoot down the body near the place where we spawned in originally in commoragh","3","","","","","","","","","","","","","","","","","","","","","",""
"Riposte Gloves","If wearer is Assassin and successfully dodges or parries an enemy's attack, it automatically creates an additional opening on that enemy on the side closest to the wearer","Mangled Sector - skill check behin demolition check near Commissar","3","","","","","","","","","","","","","","","","","","","","","",""
"Gloves of Rapid Desolation","Increases fire rate of wearer's weapon by +1. Each time an enemy is killed, perplexed is inflicted on all other enemies in a 2 cell radius","The Spyre, Farseer side","3","","","","","","","","","","","","","","","","","","","","","",""
"Commander's gloves","At the end of the turn, the wearer gains stacks of tactical advantage equal to the number of enemies they hit during their turn","Escaping Arena, first chest","3","","","","","","","","","","","","","","","","","","","","","",""
"Heartseeker Glove","First crit in combat +50% crit dmg. This effect resets after they or ally perform heroic/desperate action","Tervintas Trade","3","","","","","","","","","","","","","","","","","","","","","",""
"Avenger Tactical Gloves","When wearer is able to perfrom AoO, they gain 1 stack of vengance. Wearer's AoO deal additional AGI bonus * vengance stacks dmg","","3","","","","","","","","","","","","","","","","","","","","","",""
"Exoskeleton gloves","Gain +10 STR and +5 TGH","Comorragh: Trade with Tervantias       ","","","","","","","","","","","","","","","","","","","","","","",""
"Pain Grip","All wearer's melee attacks inflict bleeding (4). All bleeding effects inflicted by the wearer have their power increased by +2","Haemonculus Prims rumour final reward","4","","","","","","","","","","","","","","","","","","","","","",""
"Overcharge Gloves","When wearer uses overcharge on a plasma weapon that attack ignores enemy deflection and deals +(2x(INTb+Bb)) additonal dmg","Pasqal personal quest location behind hidden door","4","","","","","","","","","","","","","","","","","","","","","",""
"Master Surgeon Gloves","Grants +25 Medicae. Each time wearer sues medikit it provides additional INTb+AGIb termp wounds","Marazhai going mad during warp travel event","4","","","","","","","","","","","","","","","","","","","","","",""
"Heavy Lifters","Wearer gains +30 STR. If wearer has not moved the previous turn their ranged attacks with heavy weapons deal +50% damage until the end of the turn","Pasqal personal quest location behind hidden door","4","","","","","","","","","","","","","","","","","","","","","",""
"Harrowing Gloves","When wearer uses Intimidation, the targets inflicted with it also gain staggered for 1 round","Argenta quest location","4","","","","","","","","","","","","","","","","","","","","","",""
"Elite Marksman Gloves","Drukhari Equipment. +15BS","Cassia's personal quest location","4","","","","","","","","","","","","","","","","","","","","","",""
"Fine Work Gloves","Grant +25 Demolition and Tech-use","Emperor's Plan system - Eufrates II","","","","","","","","","","","","","","","","","","","","","","",""
"Crusade Plate Gloves","When wearer deals dmg with a heavy weapon that enemy suffers +1 stack of perplexed. If 3 or more stacks of perplexed are alrewady on the target, the wearer's attacks also inflict staggered for 2 round.","Mundus Nullius system - Ruined Palace","","","","","","","","","","","","","","","","","","","","","","",""
"Abyssal Conduit","Every second use of Psyker staff ability deals 2 x WPb more base dmg","Kasballica 19. pf82","4","","","","","","","","","","","","","","","","","","","","","",""
"Slayer's delight","Drukhari only. Wearer's single target attack with 2H melee weapon deals 3 x STRb more base dmg","Kasballica 21. pf90","4","","","","","","","","","","","","","","","","","","","","","",""
"Helliarch's goves","Attacks ignore cover eff","Kasballica 23. pf98","4","","","","","","","","","","","","","","","","","","","","","",""
"Breacher's Bracers","Whenever wearer push target, next attack against that target deals 10% more dmg. Stacks","Kasballica 24. pf100","4","","","","","","","","","","","","","","","","","","","","","",""
"Death Dealer's Glove","Wearer gain 2%dmg for each critical hit and each enemy they dealt until end of combat","Kasballica 26. pf106","4","","","","","","","","","","","","","","","","","","","","","",""
"Abyss Spinner Glove","Allies targetted by wearer's abilities gain 20% wearer's armour pen and 30% wearer's crit dmg for 1 round. If ally crit, wearer next attack is a crit","Void 30. pf102","4","","","","","","","","","","","","","","","","","","","","","",""
"Compensator Gloves","Wearer ignores weapon recoil while doing ranged burst attack. Weapon's RoF increase by BS / 2, RoF is rounded down to the nearest interger","Void 36. pf126","4","","","","","","","","","","","","","","","","","","","","","",""
"Metal Claw Gloves","Whenever wearer hits a target, reduce their armour -2% until end of combat. Stacks","Explorators 25. pf 100","4","","","","","","","","","","","","","","","","","","","","","",""
"Gloves with metal claws","Whenever a character hits a target with melee attacks, the target's armor is reduced by 2% for the rest of the battle. The effect stacks.","(Void Shadows DLC)
Explorators - Level 25","4","","","","","","","","","","","","","","","","","","","","","",""
"Boarder's Bracers","When a character pushes a target, their next attack against the same target in the same round deals 10% more damage. The effect stacks.","(Void Shadows DLC)
Kasballica Mission - Level 24","4","","","","","","","","","","","","","","","","","","","","","",""
"Iron Grip","If a character's familiar is in a cell adjacent to him, that familiar always succeeds on any checks in combat.","(Lex Imperialis DLC)
Drusians","4","","","","","","","","","","","","","","","","","","","","","",""
