"Trinkets Name","https://roguetrader.wh40k.wiki/Category:Accessory Description","Locations","Acts","","","","","","","","","","","","","","","","","","","","","",""
"Theodora's Rosary","Grants +10 to Commerce and Lore (Imperium)","","0","","","","","","","","","","","","","","","","","","","","","",""
"Blood Drinker","Whenever wearer melee attacks, regain 1 wound","Bloodspun Temple ","1","","","","","","","","","","","","","","","","","","","","","",""
"Book of War Prayers","Add 10% dmg to daemons and xenos. If Dogmatic 20%","Freight Line","1","","","","","","","","","","","","","","","","","","","","","",""
"Daemon Tool","When wearer deal warp dmg, target is inflicted with 3 burning stacks. Wearer's burning lvls inflicted increased by veil degra.","Rykad Minoris","1","","","","","","","","","","","","","","","","","","","","","",""
"First Aid Manual","Use Medkit cost -1 AP(Min 0)","Tech Trader Rep 3","1","","","","","","","","","","","","","","","","","","","","","",""
"Hidden Auto-Stimulant","If the wearer didn't move during their turn or became immobilised, slowed, stunned or prone, they gan temp wounds equal to their max MP. If Iconoclast all allies immediately gain the same number of temp wounds","Freight Line","1","","","","","","","","","","","","","","","","","","","","","",""
"Martyr's Bone Charm","Worn by Death Cult, if gaine Bloodbless, gain 10 TGH for 2 rounds. No stacking","Freight Line","1","","","","","","","","","","","","","","","","","","","","","",""
"Metronome","If wearer did not move, gain +10 all character next turn","Tech Trader Rep 4","1","","","","","","","","","","","","","","","","","","","","","",""
"Missionary Oath","If the wearer has not used any abilities, use this item to grant all adjacent ally 1 turn with 1 AP","Ship Temple Initiate Zeke","1","","","","","","","","","","","","","","","","","","","","","",""
"Needle Ring","Once per combat, deal viral toxin(5)","Tech Trader Rep 3","1","","","","","","","","","","","","","","","","","","","","","",""
"","When performing a melee attack, the character restores 1 health.","(Void Shadows DLC)
Death Cult Temple, in a chest to the left of the statue","1","","","","","","","","","","","","","","","","","","","","","",""
"Book of Minor Prayers","The character deals 10% more damage to xenos and demons. If the character has the Dogmatic Persuasion, this bonus is doubled.","(Void Shadows DLC)
Cargo Highway, in a hut on the upper level in the Black Quarter","1","","","","","","","","","","","","","","","","","","","","","",""
"Hidden auto stimulant","A cognitive stimulation system connected to the body. This sacred mechanism most likely belonged to a tech-priest or aristocrat who perished in the ship's hold along with a precious machine while on duty.

If a character does not move during their turn or is immobilized, slowed, stunned, or knocked down, they gain temporary health equal to (MP).

If the character has the Iconoclast Persuasion, all their allies immediately gain the same amount of temporary health.","(Void Shadows DLC)
Cargo Highway, reward from the foreman after the battle at the vat","1","","","","","","","","","","","","","","","","","","","","","",""
"Neuro-haptic amplifier","If a character uses Stalwart Defense but its effect is not activated within a round, the character gains +(TGH bonus) MP on their next turn.","(Lex Imperialis DLC)
Explorators","1","","","","","","","","","","","","","","","","","","","","","",""
"Ring of Iron Will","When hitting a target with Shield Bash, Double Shot, Lightning Shot, or Stern Verdict, the character makes a Charge check with a -40 penalty. If successful, the target is immobilized.","(Lex Imperialis DLC)
Rykad Minoris. Star Haven. In the shuttle with the Knowledge: Imperium test.","1","","","","","","","","","","","","","","","","","","","","","",""
"Acuser of Sin","Grants Wearer's WPb base dmg to Charge against Demons and Xenos","Foulstone Proj.3: In Drusus Footsteps","2","","","","","","","","","","","","","","","","","","","","","",""
"Anatomy Tome","STR + INT bonus to base dmg for single attacks vs humans. +5 to Medicae","Cradle of Khepri System: Distress Signal Bunker Awareness Check","2","","","","","","","","","","","","","","","","","","","","","",""
"Auspex ","Awareness +10","Footfall","2","","","","","","","","","","","","","","","","","","","","","",""
"Bayonet Knife","Inflict bleeding (4) on target shot by ranged wep at 1 range","Pirate Rep 0. PF 22","2","","","","","","","","","","","","","","","","","","","","","",""
"Bead of Concentration","Gain +1AP for each consec. turns don't move up to 5","Mech Mer Rep15. PF35","2","","","","","","","","","","","","","","","","","","","","","",""
"Brinkwalker Pendant","Ignore if AoO if below 50% HP ","Pirate Rep6. PF 29","2","","","","","","","","","","","","","","","","","","","","","",""
"Camaraderie Badge","When wearer hit enemy in melee range. Nearest ally gains (wearer's WP bonus + FEL bonus) temp. wounds","drusian 5. pf38","2","","","","","","","","","","","","","","","","","","","","","",""
"Carapace Fragment","Ignore energy dmg to the wearer up to 3 times","Vheabos Event 2","2","","","","","","","","","","","","","","","","","","","","","",""
"Chain of Domination","Kills give +5WP until end of combat","Latotian Passage system - Unidentified Ruins puzzle","2","","","","","","","","","","","","","","","","","","","","","",""
"Chirurgeon's Manual","Grant 2 x TGH bonus Medicae. Grant TGH Bonus MP after Medikit use","Mech Mer Rep 5. PF23","2","","","","","","","","","","","","","","","","","","","","","",""
"Combat Manipulator","Use medikit, nades, stimns stack versitility","Mech Mer Rep9. PF26","2","","","","","","","","","","","","","","","","","","","","","",""
"Combi- Tool","Tech Use + 10","Hidden Bunker ","2","","","","","","","","","","","","","","","","","","","","","",""
"Diagnostor","Increases Medicae by +15","Aviorus System - Drifting Voidship ","2","","","","","","","","","","","","","","","","","","","","","",""
"Disinfection Device","This device grants the owner a +15 bonus to Carouse Tests.","Janus Maintenance Room - can be accessed after meeting the governor for the first time","2","","","","","","","","","","","","","","","","","","","","","",""
"Enemy Finder","Inflict Exhaustion (next successfuil attack is always a crit) on target that fail a TGH check -10 against wearer's ranged attack","Shrine Ambush","2","","","","","","","","","","","","","","","","","","","","","",""
"Force Field Emitter","After Run n Gun, gain 15% cover effic. for 1 round","Mech Mer Rep18. PF50","2","","","","","","","","","","","","","","","","","","","","","",""
"Grimmoire of the Void","Increase chance to trigger phenomena by 15%. All warp dmg dealt by wearer increase by 2 x WP bonus","Pirate Rep18. PF 52","2","","","","","","","","","","","","","","","","","","","","","",""
"Hadd-Pattern Data-Loom","-10 to all skills, wearer can reroll any failed skill test once for each test ","Mu-Rho 79 system - Rocky World","2","","","","","","","","","","","","","","","","","","","","","",""
"Ice covered Acquilla","Whenever wearer suffered a crit, attacker suffer wearer's WPb warp dmg","Astropathic Choir Quest: Abulation in Blood","2","","","","","","","","","","","","","","","","","","","","","",""
"Imperial Scroll","Lore Imperium +15","drusian 0. pf20","2","","","","","","","","","","","","","","","","","","","","","",""
"Improved Injector","Carouse / 20 Temp wounds when using Stimns. First Stimns 0 AP","Mech Mer Rep16. PF40","2","","","","","","","","","","","","","","","","","","","","","",""
"Invigorating Resolve","Weaer and allies within 2 range gain temp wounds = momentum","Mech Mer Rep12. PF30","2","","","","","","","","","","","","","","","","","","","","","",""
"Knuckle Guard","Give +5 bonus to Weapon Skill Tests. Equipped Melee Weapons +5% to Penetration and +2 to Damage.","Footfall Funeral (Incognito act as Fedelio) Sewer","2","","","","","","","","","","","","","","","","","","","","","",""
"Martyr's Penance","Wearer make an inferno pistol attack at short range once per combat for 10-14dmg at 40% AR pen","drusian 12. pf38","2","","","","","","","","","","","","","","","","","","","","","",""
"Mysterious Sliver","Whenever wearer use major psychic poewr, gain 10 + 2 x WP bonus until end of next turn","Janus Event 3","2","","","","","","","","","","","","","","","","","","","","","",""
"Pair Holster","Once per turn when wearer crits with pister, next attack with a pistol cost 0AP.","Footfall Shadow Quarters Warehouse - Jae's Quest","2","","","","","","","","","","","","","","","","","","","","","",""
"Peculiar Trinket","At start of wearer's turn gain 2 x equiped Deflection temp wounds. When wear wounds fall to 0, fall prone instead and gain 10% max wounds as temp wounds. Become priority target of adj. enemies. If no other allies alive, game over. Next turn regain 30% of max wounds if they still have temp wounds. Works once / round. TL;DR it's death's door mechanic","Vheabos Proj event 1: Side with Jae","2","","","","","","","","","","","","","","","","","","","","","",""
"Portable Coagitator","Logic + 10","Kiava Gama: Killing Dementz","2","","","","","","","","","","","","","","","","","","","","","",""
"Portative Manipulator","Reload Cost -1 AP (0 AP min)","Mech Mer Rep 7. PF30","2","","","","","","","","","","","","","","","","","","","","","",""
"Precint's Vox Relay","Wearer gain +1 FEL and WP each enemy targetted or hit by ally affected by wearer's Bring it Down!","Pirate Rep20. PF 55","2","","","","","","","","","","","","","","","","","","","","","",""
"Saint Cognatius's  Scripture","Grant +20 Lore Imperium. + (LoreImp.) / 10 Armor & CritDmg","Foulstone Proj.2 event","2","","","","","","","","","","","","","","","","","","","","","",""
"Seal of Death","Whenever wearer kill enemy with Blade Dance, other enemy adj. to wearer becomes staggered for 1 round","drusian 14. pf46","2","","","","","","","","","","","","","","","","","","","","","",""
"Seeker of the Weak","Enemy suffering from Bleed,Toxin, Burning - 30 Dodge","Janus Proj. 3: Xenodefence","2","","","","","","","","","","","","","","","","","","","","","",""
"Shifting Combi Tool","Tech Use + 20","Kiava Gama last boss","2","","","","","","","","","","","","","","","","","","","","","",""
"Signet Ring","Persuasion +10","Janus Governor (Dogmatic) fight","2","","","","","","","","","","","","","","","","","","","","","",""
"Sinister Diary","Lore Warp +20. -10 WP resist test","Janus Governer (Dogmatic) fight","2","","","","","","","","","","","","","","","","","","","","","",""
"Stimulant Injector","Decrease Wound -10%. +3x TGH Bonus Crit Chance","Footfall (Incog) Funeral sidequest","2","","","","","","","","","","","","","","","","","","","","","",""
"Spirit Drape","Psyker non attack powers cost -1AP in the first turn of combat","Janus Event 3","2","","","","","","","","","","","","","","","","","","","","","",""
"Target Designator","Whenever wearer deadeye shot hit, reduce enemy deflection -1 and inflict +1 exploit until end of combat. Stacks","Mech Mer Rep 0","2","","","","","","","","","","","","","","","","","","","","","",""
"Tarnished Breacher's Acquilla","Enemies in area of attack suffer (2 x INTb) dodge and allies gain 2 x INTb to dodge","Plasma Chambers: Servitor Puzzle","2","","","","","","","","","","","","","","","","","","","","","",""
"Tome of Excess","Grants +10 Lore Warp, the wielder suffers lore warp/3 more dmg from psyker and navigator powers","Janus Governor's Estate - When confronting the governor","2","","","","","","","","","","","","","","","","","","","","","",""
"Tome of Excess","Lore Warp + 10 but suffer LoreWarp/3 more dmg from psyker or Navigator powers","Janus Governer fight","2","","","","","","","","","","","","","","","","","","","","","",""
"Warp Surge Brooch","In first round of combat, wearer's attack limit is increased by wearer's PR level","kasballica 15. pf70","2","","","","","","","","","","","","","","","","","","","","","",""
"Stolen Breath","When ally dies (wounds drop to 0) in combat, wearer gains +5WS and +5BS until the end of combat, if heretic they gain additionally +10TGH. Stacks","Void shadows DLC - Bath Investigation puzzle solved -> Pelium Solitas System-> Savannah World","2","","","","","","","","","","","","","","","","","","","","","",""
"Secrets of the Forerunner","If any of the wearers characteristics is 100 or more all characteristics lower than 100 gain +10","Ship Crypt: Abulation in Blood hidden room","2","","","","","","","","","","","","","","","","","","","","","",""
"White/Red/Black ring of inquisition","Provides Inquisition tenet ability, strength based on colour. ","Meeting with inquisition end of act 2","2","","","","","","","","","","","","","","","","","","","","","",""
"Icy Aquila","The Imperium's symbol gleams proudly beneath a crust of purple psychic ice. Fingerprints are barely visible on the frosty carapace—marks left by Choirmaster Weiss during his desperate struggle with the warp.

When a character suffers a critical hit, the attacker immediately suffers (WP bonus) warp damage.","(Void Shadows DLC)
Astropathic Choir Chapel, a possible reward for performing a ritual with the Astropathic Choir","2","","","","","","","","","","","","","","","","","","","","","",""
"Secrets of the Forerunner","If any of the character's stats are greater than 100, all stats with values ​​less than 90 are increased by 10.","(Void Shadows DLC)
Family Crypt, in the Aeldari Cache","2","","","","","","","","","","","","","","","","","","","","","",""
"Enemy Seeker","Targets of the character's ranged attacks make a Stamina check to resist with a -10 penalty and suffer exhaustion on a failed check.","(Void Shadows DLC)
Ship Sanctuary, from the body of a sniper","2","","","","","","","","","","","","","","","","","","","","","",""
"Stolen Breath","When an ally dies in combat (their health drops to 0), the character immediately gains +5 to Melee and Ranged Combat for the remainder of the combat.

In addition, if the character has the Heretic Persuasion, they gain +10 to Toughness. This effect stacks.","(Void Shadows DLC)
Pelion Solitude System, for the ""Stars Will Lead the Way"" quest","2","","","","","","","","","","","","","","","","","","","","","",""
"Memoirs of a Rogue Trader von Valantius","A long strip of paper covered with historically accurate records of your incredible adventures.

If the character is not a Rogue Trader, they gain +(Rogue Trader level / 3) to Commerce, Pressure, and Persuasion.","(Lex Imperialis DLC)
Rogue Trader's Quarters, write memoirs using Servoskulls
Requires a Rogue Trader with the Overseer archetype and a Servoskull swarm","2","","","","","","","","","","","","","","","","","","","","","",""
