"Scroll Right for more variant builds","","","Item Locations:","","https://roguetrader.wh40k.wiki/Warhammer_40,000_Rogue_Trader_Wiki","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Lex videos will be posted to https://youtube.com/@revan619?si=Wc7XVjvFc0LjebGD","","","","","","","","","","","Gear suggestions are complicated as you will constantly move gear between allies so below will be what to aim for end of the act.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Live Stream Playlist: https://youtube.com/playlist?list=PLrqfcSvSc1aXg0fklgBBfe3oPevNWfDbJ&si=jpco7lfWQO3S05CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ability","Abelard Werserian - Imperial Navy Breacher","","","","","","","","","","Skill Options","","","","","","","Abelard - 40k Icon","","","","","","","","","","Skill Options","","","","","","","Abelard the Defender","","","","","","","","","","Skill Options","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Skill","Using augments to one hand two handed weapons. More tankier than vanguard and far more mobility and damage. This Abelard goes in and announces you with much gusto","","","","","","","","","","Athletics / Carouse","","","","","","","Slightly gimmicky setup but usable with a foehammer into stuff like boneshatterer late game which when you get to arch-militant cape you will swap to quick-shot las pistol ect","","","","","","","","","","Athletics / Carouse","","","","","","","People really do marry this setup despite the lack of support - Vanguard shield Abelard","","","","","","","","","","Athletics / Carouse","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Talent","Warrior","","","Arch-Militant","","","Exemplar","","","","","","","","","","","Warrior","","","Arch-Militant","","","Exemplar","","","","","","","","","","","Warrior","","","Vanguard","","","Exemplar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Common Talent","Level 1 :","Charge","","Level 16 :","Versitility","","Level 36 :","Peak Condition","Easy Target","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","Level 1 :","Charge","","Level 16 :","Versitility","","Level 36 :","Peak Condition","Opening Strike","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","Level 1 :","Charge","","Level 16 :","Unyelding Beacon","","Level 36 :","Peak Condition","Rigorous Training","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Heroic Action","Level 2 :","Athletics","","Level 17 :","Reckless Rush","","Level 37 :","Athletics","Contempt for the weak","","Helm","Helm of Determination","The Guardian Crown","The Guardian Crown","The Guardian Crown","","","Level 2 :","Medicae","","Level 17 :","Reckless Rush","","Level 37 :","Athletics","Dismantle","","Helm","Helm of Determination","The Guardian Crown","The Guardian Crown","The Guardian Crown","","","Level 2 :","Medicae","","Level 17 :","Defensive Stance","Instant Retribution","Level 37 :","Athletics","Offensive Follow","","Helm","Helm of Determination","The Guardian Crown","The Guardian Crown","The Guardian Crown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Stats","Level 3 :","Endure","","Level 18 :","Always Ready","","Level 38 :","Weapon Skill","Lethal Precision","","Armour","Ceramite Storm Trooper","Fortress World Tempestus Carapace","Adherent of Mankind","Sanguine Judgement","","","Level 3 :","Endure","","Level 18 :","Always Ready","","Level 38 :","Weapon Skill","Lethal Precision","","Armour","Ceramite Storm Trooper","Fortress World Tempestus Carapace","Adherent of Mankind","Adherent of Mankind","","","Level 3 :","Endure","","Level 18 :","Counter Attack Stance","","Level 38 :","Weapon Skill","Shield Mastery","","Armour","Ceramite Storm Trooper","Fortress World Tempestus Carapace","Adherent of Mankind","Sanguine Judgement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ideal Talents To Swap with this border","Level 4 :","Daring Breach","Thick Skin","Level 19 :","Steady Superiority","","Level 39 :","Sworn Enemy","Athletics","","Cloak","Xenopelt Cloak","Malpian Shroud","Malpian Shroud","Malpian Shroud","","","Level 4 :","Daring Breach","Thick skin","Level 19 :","Steady Superiority","","Level 39 :","Sworn Enemy","Athletics","","Cloak","Xenopelt Cloak","Malpian Shroud","Malpian Shroud","Arch-Militant's Cape","","","Level 4 :","Daring Breach","Thick Skin","Level 19 :","Unyelding Guard","","Level 39 :","Sworn Enemy","Athletics","","Cloak","Xenopelt Cloak","Malpian Shroud","Malpian Shroud","Malpian Shroud","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 5 :","Ramming Speed","Weapon Skill","Level 20 :","AP +1","Weapon Skill","Level 40 :","Destroyer","Focal Point","","Neck","Grace of the Oblivious","Invigorating Resolve","Invigorating Resolve","Invigorating Resolve","","","Level 5 :","Ramming Speed","Weapon Skill","Level 20 :","AP +1","Weapon Skill","Level 40 :","Destroyer","Contempt for the weak","","Neck","Grace of the Oblivious","Invigorating Resolve","Invigorating Resolve","Wolf Tooth Necklace","","","Level 5 :","Ramming Speed","Weapon Skill","Level 20 :","AP +1","Weapon Skill","Level 40 :","Destroyer","Punish The Imprudent","","Neck","Grace of the Oblivious","Invigorating Resolve","Invigorating Resolve","Invigorating Resolve","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 6 :","Taunting Scream","Athletics","Level 21 :","Dependable","Weapon Skill","Level 41 :","Weapon Skill","Crowd Kill","","Accessory 1","First Aid Manual","First Aid Manual","First Aid Manual","Blades Clone Field","","","Level 6 :","Taunting Scream","Athletics","Level 21 :","Allout","Weapon Skill","Level 41 :","Weapon Skill","Easy Target","","Accessory 1","First Aid Manual","Pair Holster","Pair Holster","Pair Holster","","","Level 6 :","Taunting Scream","Athletics","Level 21 :","Weapon Skill","Enduring Shield","Level 41 :","Weapon Skill","Easy Target","","Accessory 1","First Aid Manual","Peculiar Trinket","Peculiar Trinket","Peculiar Trinket","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 7 :","Weapon Skill","Fleet Combat Training","Level 22 :","Wildfire","Dual-Weapon Combat","Level 42 :","Devastating Attack","Toughness","","Accessory 2","","Combat Manipulator","Combat Manipulator","Hellbrute Horn Trophy / Military Combi-Tool","","","Level 7 :","Weapon Skill","Fleet Combat Training","Level 22 :","Wildfire","Doing My Part","Level 42 :","Devastating Attack","Toughness","","Accessory 2","","Combat Manipulator","Combat Manipulator","Echo of Victory / Military Combi-Tool","","","Level 7 :","Weapon Skill","Fleet Combat Training","Level 22 :","Follow my lead","Athletics","Level 42 :","Wall of Rockcrete","Toughness","","Accessory 2","","Empyrean Transceiver","Empyrean Transceiver","Empyrean Transceiver","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 8 :","Carouse","Impetus","Level 23 :","Athletics","Allout","Level 43 :","Breaking Attack","Calculated Resolve","","Gloves","Relished Anguish","Adaptive Gloves","Adaptive Gloves","Adaptive Gloves","","","Level 8 :","Athletics","Crowd Kill","Level 23 :","Athletics","Flashfire","Level 43 :","Breaking Attack","Residual Power","","Gloves","Relished Anguish","Augmented Gloves / Adaptive Gloves","Augmented Gloves / Adaptive Gloves","Compensator Gloves","","","Level 8 :","Athletics","Impetus","Level 23 :","Beacon of Might","Dual-Weapon Combat","Level 43 :","Wall Of Ferrocrete","Lethal Precision","","Gloves","Relished Anguish","Adaptive Gloves","Adaptive Gloves","Adaptive Gloves","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 9 :","Daring Breach II","","Level 24 :","Toughness","Melee Weapon Spec / Instant Retribution","Level 44 :","Carouse","Degraded Defence","","Boots","Pneumo Boots","Pneumo Boots","Pneumo Boots","Void Veteran Boots","","","Level 9 :","Daring Breach II","","Level 24 :","Toughness","Dual Weapon Combat","Level 44 :","Carouse","Degraded Defence","","Boots","Pneumo Boots","Pneumo Boots","Pneumo Boots","Void Veteran Boots","","","Level 9 :","Daring Breach II","","Level 24 :","Toughness","Stentorian Voice","Level 44 :","Carouse","Degraded Defence","","Boots","Pneumo Boots","Pneumo Boots","Pneumo Boots","Void Veteran Boots","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 10 :","Open Engagement","Perception","Level 25 :","Flashfire","","Level 45 :","AP +1","","","Weapon Set 1","Sol Pattern Chainsword","Carnage","Carnage","Tearing Vengence","","","Level 10 :","Open Engagement","Toughness","Level 25 :","Broad Expertise","","Level 45 :","AP +1","","","Weapon Set 1","Sol Pattern Chainsword","Epiphany","Epiphany","Tearing Vengeance / Bonecracker","","","Level 10 :","Open Engagement","Toughness","Level 25 :","Renitent beacon","","Level 45 :","AP +1","","","Weapon Set 1","Sol Pattern Chainsword","Heavy Maul","Heavy Maul","Tearing Vengence / Heavy Maul","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
